SelectPreviousBindingCodcaster,CODCASTER/BINDINGS_SELECTPREVIOUS,CODCASTER/BINDINGS_SELECTPREVIOUS_DESC,codcaster_player_list_previous,CODCASTER,Y,Y,Y,Y,,
SelectSpectateBindingCodcaster,CODCASTER/BINDINGS_SELECTSPECTATE,CODCASTER/BINDINGS_SELECTSPECTATE_DESC,codcaster_spectate_selected_player,CODCASTER,Y,Y,Y,Y,,
ThirdPersonBindingCodcaster,CODCASTER/BINDINGS_THIRDPERSON,CODCASTER/BINDINGS_THIRDPERSON_DESC,codcaster_third_person,CODCASTER,Y,Y,Y,Y,,
XrayBindingCodcaster,CODCASTER/BINDINGS_XRAY,CODCASTER/BINDINGS_XRAY_DESC,codcaster_xray,CODCASTER,Y,Y,Y,Y,,
PlayerNumbersBindingCodcaster,CODCASTER/BINDINGS_PLAYERNUMBERS,CODCASTER/BINDINGS_PLAYERNUMBERS_DESC,codcaster_player_numbers,CODCASTER,Y,Y,Y,Y,,
PlayerHUDBindingCodcaster,CODCASTER/BINDINGS_PLAYERHUD,CODCASTER/BINDINGS_PLAYERHUD_DESC,codcaster_player_hud,CODCASTER,Y,Y,Y,Y,,
TeamListBindingCodcaster,CODCASTER/BINDINGS_TEAMLIST,CODCASTER/BINDINGS_TEAMLIST_DESC,codcaster_team_list,CODCASTER,Y,Y,Y,Y,,
PlayerListBindingCodcaster,CODCASTER/BINDINGS_TEAMLISTYPE,CODCASTER/BINDINGS_TEAMLISTYPE_DESC,codcaster_player_list,CODCASTER,Y,Y,Y,Y,,
KillstreakViewBindingCodcaster,CODCASTER/BINDINGS_KILLSTREAKVIEW,CODCASTER/BINDINGS_KILLSTREAKVIEW_DESC,codcaster_killstreak_view,CODCASTER,Y,Y,Y,Y,,
FieldUpgradeViewBindingCodcaster,CODCASTER/BINDINGS_FIELDUPGRADEVIEW,CODCASTER/BINDINGS_FIELDUPGRADEVIEW_DESC,codcaster_field_upgrade_view,CODCASTER,Y,Y,Y,Y,,
ScoreHeaderBindingCodcaster,CODCASTER/BINDINGS_SCOREHEADER,CODCASTER/BINDINGS_SCOREHEADER_DESC,codcaster_players_leaderboard,CODCASTER,Y,Y,Y,Y,,
PlayerCardBindingCodcaster,CODCASTER/BINDINGS_PLAYERCARD,CODCASTER/BINDINGS_PLAYERCARD_DESC,codcaster_player_card,CODCASTER,Y,Y,Y,Y,,
ListenInBindingCodcaster,CODCASTER/BINDINGS_LISTENIN,CODCASTER/BINDINGS_LISTENIN_DESC,codcaster_listen_in,CODCASTER,Y,Y,Y,Y,,
SettingsMenuBindingCodcaster,CODCASTER/BINDINGS_SETTINGSMENU,CODCASTER/BINDINGS_SETTINGSMENU_DESC,codcaster_settings_menu,CODCASTER,Y,Y,Y,Y,,
NightvisionBindingCodcaster,CODCASTER/BINDINGS_NIGHTVISION,CODCASTER/BINDINGS_NIGHTVISION_DESC,codcaster_nightvision,CODCASTER,Y,Y,Y,Y,,
KillfeedBindingCodcaster,CODCASTER/BINDINGS_KILLFEED,CODCASTER/BINDINGS_KILLFEED_DESC,codcaster_killfeed,CODCASTER,Y,Y,Y,Y,,
MedalsBindingCodcaster,CODCASTER/BINDINGS_MEDALS,CODCASTER/BINDINGS_MEDALS_DESC,codcaster_player_notifications,CODCASTER,Y,Y,Y,Y,,
AnnouncementBindingCodcaster,CODCASTER/BINDINGS_ANNOUNCEMENTS,CODCASTER/BINDINGS_ANNOUNCEMENTS_DESC,codcaster_announcement,CODCASTER,Y,Y,Y,Y,,
DataViewBindingCodcaster,CODCASTER/BINDINGS_DATAVIEW,CODCASTER/BINDINGS_DATAVIEW_DESC,codcaster_fullscreen_leaderboard,CODCASTER,Y,Y,Y,Y,,
PlayerStatsBindingCodcaster,CODCASTER/BINDINGS_PLAYERSTATS,CODCASTER/BINDINGS_PLAYERSTATS_DESC,codcaster_player_stats,CODCASTER,Y,Y,Y,Y,,
FullscreenMapBindingCodcaster,CODCASTER/BINDINGS_FULLSCREENMAP,CODCASTER/BINDINGS_FULLSCREENMAP_DESC,codcaster_fullscreen_map,CODCASTER,Y,Y,Y,Y,,
MinimapBindingCodcaster,CODCASTER/BINDINGS_MINIMAP,CODCASTER/BINDINGS_MINIMAP_DESC,codcaster_minimap,CODCASTER,Y,Y,Y,Y,,
HideLayerBindingCodcaster,CODCASTER/BINDINGS_HIDELAYER,CODCASTER/BINDINGS_HIDELAYER_DESC,codcaster_hide_layer,CODCASTER,Y,Y,Y,Y,,
AerialCamBindingCodcaster,CODCASTER/BINDINGS_AERIALCAM,CODCASTER/BINDINGS_AERIALCAM_DESC,codcaster_aerial_camera,CODCASTER,Y,Y,Y,Y,,
FreeCamBindingCodcaster,CODCASTER/BINDINGS_FREECAM,CODCASTER/BINDINGS_FREECAM_DESC,codcaster_enable_mlg_freecamera,CODCASTER,Y,Y,Y,Y,,
FreecamPreset1BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET1,CODCASTER/BINDINGS_CAMPRESET1_DESC,codcaster_camera_preset1,CODCASTER,Y,Y,Y,Y,,
FreecamPreset2BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET2,CODCASTER/BINDINGS_CAMPRESET2_DESC,codcaster_camera_preset2,CODCASTER,Y,Y,Y,Y,,
FreecamPreset3BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET3,CODCASTER/BINDINGS_CAMPRESET3_DESC,codcaster_camera_preset3,CODCASTER,Y,Y,Y,Y,,
FreecamPreset4BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET4,CODCASTER/BINDINGS_CAMPRESET4_DESC,codcaster_camera_preset4,CODCASTER,Y,Y,Y,Y,,
FreecamPreset5BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET5,CODCASTER/BINDINGS_CAMPRESET5_DESC,codcaster_camera_preset5,CODCASTER,Y,Y,Y,Y,,
FreecamPreset6BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET6,CODCASTER/BINDINGS_CAMPRESET6_DESC,codcaster_camera_preset6,CODCASTER,Y,Y,Y,Y,,
FreecamPreset7BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET7,CODCASTER/BINDINGS_CAMPRESET7_DESC,codcaster_camera_preset7,CODCASTER,Y,Y,Y,Y,,
FreecamPreset8BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET8,CODCASTER/BINDINGS_CAMPRESET8_DESC,codcaster_camera_preset8,CODCASTER,Y,Y,Y,Y,,
FreecamPreset9BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET9,CODCASTER/BINDINGS_CAMPRESET9_DESC,codcaster_camera_preset9,CODCASTER,Y,Y,Y,Y,,
FreecamPreset10BindingCodcaster,CODCASTER/BINDINGS_CAMPRESET10,CODCASTER/BINDINGS_CAMPRESET10_DESC,codcaster_camera_preset10,CODCASTER,Y,Y,Y,Y,,
FreecamForwardBindingCodcaster,MENU/FORWARD,CODCASTER/MOVE_FORWARD_DESC,codcaster_mlg_camera_forward,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamBackwardBindingCodcaster,MENU/MOVE_BACK,CODCASTER/MOVE_BACK_DESC,codcaster_mlg_camera_backward,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamLeftBindingCodcaster,MENU/MOVE_LEFT,CODCASTER/MOVE_LEFT_DESC,codcaster_mlg_camera_left,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamRightBindingCodcaster,MENU/MOVE_RIGHT,CODCASTER/MOVE_RIGHT_DESC,codcaster_mlg_camera_right,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamFlyUpBindingCodcaster,CODCASTER/FLY_UP_ZOOM_OUT,CODCASTER/FLY_UP_ZOOM_OUT_DESC,codcaster_mlg_camera_up,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamFlyDownBindingCodcaster,CODCASTER/FLY_DOWN_ZOOM_IN,CODCASTER/FLY_DOWN_ZOOM_IN_DESC,codcaster_mlg_camera_down,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamSpeedUpBindingCodcaster,CODCASTER/SPEED_UP,CODCASTER/SPEED_UP_DESC,codcaster_mlg_camera_speedup,CODCASTER_FREECAM,Y,Y,Y,Y,,
FreecamSlowDownBindingCodcaster,CODCASTER/SLOW_DOWN,CODCASTER/SLOW_DOWN_DESC,codcaster_mlg_camera_slowdown,CODCASTER_FREECAM,Y,Y,Y,Y,,
AerialCameraFocusSpectatedBindingCodcaster,CODCASTER/BINDINGS_AERIAL_CAMERA_FOCUS,CODCASTER/BINDINGS_AERIAL_CAMERA_FOCUS_DESC,codcaster_focus,CODCASTER_AERIALCAM,Y,Y,Y,Y,,
AerialCameraToggleLockBindingCodcaster,CODCASTER/BINDINGS_AERIAL_CAMERA_LOCK,CODCASTER/BINDINGS_AERIAL_CAMERA_LOCK_DESC,codcaster_aerial_toggle_lock,CODCASTER_AERIALCAM,Y,Y,Y,Y,,
SetCameraPresetBindingCodcaster,CODCASTER/BINDINGS_SET_CAMERA_PRESET,CODCASTER/BINDINGS_SET_CAMERA_PRESET_DESC,codcaster_combo_key,CODCASTER_FREECAM,Y,Y,Y,Y,,
PauseGameBindingCodcaster,CODCASTER/BINDINGS_PAUSE_GAME,CODCASTER/BINDINGS_PAUSE_GAME_DESC,codcaster_pause_resume_game,CODCASTER,Y,Y,Y,Y,Y,
