attachment_swap,2003,ui_attachment_swap,,,1.5,1.5,1.5,0.5,
ui_lock,2004,ui_font_lock,,,1.5,1.5,1.5,0.5,
ui_skull,2005,icon_skull_small,,,1,1,1,0.5,
ui_codpoints,2006,icon_currency_codpoints,,,1,1,1,0.5,
ui_uparrow,2010,ui_button_kbm_arrowup,,,1,1,1,0.5,
ui_downarrow,2011,ui_button_kbm_arrowdown,,,1,1,1,0.5,
ui_leftarrow,2012,ui_button_kbm_arrowleft,,,1,1,1,0.5,
ui_rightarrow,2013,ui_button_kbm_arrowright,,,1,1,1,0.5,
ui_mouseleftclick,2014,ui_button_kbm_mouseleftclick,,,1.5,1.5,1.5,0.5,
ui_mouserightclick,2015,ui_button_kbm_mouserightclick,,,1.5,1.5,1.5,0.5,
ui_mousemiddleclick,2016,ui_button_kbm_mousemiddleclick,,,1.5,1.5,1.5,0.5,
ui_mouseclick4,2017,ui_button_kbm_mouseclick4,,,1.5,1.5,1.5,0.5,
ui_mouseclick5,2018,ui_button_kbm_mouseclick5,,,1.5,1.5,1.5,0.5,
ui_mousewheeldown,2019,ui_button_kbm_mousescrolldown,,,1.5,1.5,1.5,0.5,
ui_mousewheelup,2020,ui_button_kbm_mousescrollup,,,1.5,1.5,1.5,0.5,
ui_mouseicon,2021,ui_button_kbm_mouse,,,1.5,1.5,1.5,0.5,
ui_voice,2022,icon_mic_talking,,,1,1,1,0.5,
ui_killhouse_ticket,2023,icon_killhouse_ticket,,,1,1,1,0.5,
streak_warning,2024,ui_streak_warning,,,1.25,1.25,1.25,0.5,
watch_kills,2025,watch_kills,,,0.9,0.9,0.9,0.5,
watch_deaths,2026,watch_deaths,,,0.9,0.9,0.9,0.5,
ui_unlocked,2027,ui_font_unlocked,,,1,1,1,0.5,
reward_complete,2028,ui_reward_complete,,,0.5,0.5,0.5,0.5,
reward_incomplete,2029,ui_reward_incomplete,,,0.5,0.5,0.5,0.5,
ui_reset,2030,icon_swap,,,1,1,1,0.5,
ui_underbarrel_grenade,2031,icon_attachment_ub_mike203,,,1.5,1.5,1.5,0.5,
ui_underbarrel_shotgun,2032,icon_attachment_masterkey01,,,1.5,1.5,1.5,0.5,
ui_mousewheelupdown,2033,ui_button_kbm_mousescrollupdown,,,1.5,1.5,1.5,0.5,
ui_mouseleftclickpan,2034,ui_button_kbm_mouseleftclick_pan,,,1.75,1.75,1.75,0.5,
ui_codkey,2035,icon_currency_key,,,1.5,1.5,1.5,0.5,
watch_headshots,2036,watch_headshots,,,0.9,0.9,0.9,0.5,
ui_party,2037,icon_playlist_team,,,1,1,1,0.5,
ui_attachment_variant,2038,icon_menu_variant,,,0.85,0.85,0.85,0.5,
ui_mychanges_ok,2039,icon_mychanges_ok,,,1,1,1,0.5,
ui_mychanges_reload,2040,icon_mychanges_reload,,,1,1,1,0.5,
ui_mychanges_restart,2041,icon_mychanges_restart,,,1,1,1,0.5,
ui_mychanges_warn,2042,icon_mychanges_warn,,,1,1,1,0.5,
ui_clock,2043,apache_icon_time,,,1,1,1,0.5,
