a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,
18,weapon_assault,WEAPON_R5RGP,iw6_arkalienr5rgp_mp,iw6_arkalienr5rgp,WEAPON_R5RGP,PERKS/AR_R5RGP,0,9,,firetypeburst,grip,reflex,acog,eotech,thermal,barrelrange,alienmuzzlebrake,,,,,,,,,,,,
19,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
20,weapon_dmr,WEAPON_IMBEL,iw6_cpimbel_mp,iw6_cpimbel,WEAPON_IMBEL,PERKS/SNIPER_IMBEL,0,9,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,,,,,,,,,,,,1,
21,weapon_dmr,WEAPON_IMBEL,iw6_cpimbelx2_mp,iw6_cpimbelx2,WEAPON_IMBEL,PERKS/SNIPER_IMBEL,0,9,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,,,,,,,,,,,,,
22,weapon_dmr,WEAPON_IMBEL,iw6_cpimbelx3_mp,iw6_cpimbelx3,WEAPON_IMBEL,PERKS/SNIPER_IMBEL,0,9,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,,,,,,,,,,,,,
23,weapon_dmr,WEAPON_G28,iw6_cpg28_mp,iw6_cpg28,WEAPON_G28,PERKS/SNIPER_G28,0,9,,barrelrange,silencer,flashsuppress,ironsight,firetypeburst,fmj,,,,,,,,,,,,,1,
24,weapon_dmr,WEAPON_G28,iw6_cpg28x2_mp,iw6_cpg28x2,WEAPON_G28,PERKS/SNIPER_G28,0,9,,barrelrange,silencer,flashsuppress,ironsight,firetypeburst,fmj,,,,,,,,,,,,,,
25,weapon_dmr,WEAPON_G28,iw6_cpg28x3_mp,iw6_cpg28x3,WEAPON_G28,PERKS/SNIPER_G28,0,9,,barrelrange,silencer,flashsuppress,ironsight,firetypeburst,fmj,,,,,,,,,,,,,,
26,weapon_dmr,WEAPON_SVU,iw6_cpsvu_mp,iw6_cpsvu,WEAPON_SVU,PERKS/SNIPER_SVU,0,9,,xmags,firetypeburst,barrelrange,reflex,acog,eotech,thermal,,,,,,,,,,,,1,
27,weapon_dmr,WEAPON_SVU,iw6_cpsvux2_mp,iw6_cpsvux2,WEAPON_SVU,PERKS/SNIPER_SVU,0,9,,xmags,firetypeburst,barrelrange,reflex,acog,eotech,thermal,,,,,,,,,,,,,
28,weapon_dmr,WEAPON_SVU,iw6_cpsvux3_mp,iw6_cpsvux3,WEAPON_SVU,PERKS/SNIPER_SVU,0,9,,xmags,firetypeburst,barrelrange,reflex,acog,eotech,thermal,,,,,,,,,,,,,
29,weapon_dmr,WEAPON_IMBEL,iw6_arkalienimbel_mp,iw6_arkalienimbel,WEAPON_IMBEL,PERKS/SNIPER_IMBEL,0,9,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,alienmuzzlebrake,,,,,,,,,,,,
30,weapon_dmr,WEAPON_MK14,iw6_arkalienmk14_mp,iw6_arkalienmk14,WEAPON_MK14,PERKS/SNIPER_MK14,0,9,,firetypeburst,barrelrange,reflex,acog,eotech,thermal,alienmuzzlebrake,,,,,,,,,,,,,
31,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
32,weapon_lmg,WEAPON_LSAT,iw6_aliendlc12_mp,iw6_aliendlc12,WEAPON_LSAT,PERKS_LMG_LSAT,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
33,weapon_lmg,WEAPON_LSAT,iw6_cplsat_mp,iw6_cplsat,WEAPON_LSAT,PERKS_LMG_LSAT,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,1,,,,,,,
34,weapon_lmg,WEAPON_LSAT,iw6_cplsatx2_mp,iw6_cplsatx2,WEAPON_LSAT,PERKS_LMG_LSAT,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
35,weapon_lmg,WEAPON_LSAT,iw6_cplsatx3_mp,iw6_cplsatx3,WEAPON_LSAT,PERKS_LMG_LSAT,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
36,weapon_lmg,WEAPON_M27,iw6_cpm27_mp,iw6_cpm27,WEAPON_M27,PERKS/LMG_M27,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,1,,,,,,,
37,weapon_lmg,WEAPON_M27,iw6_cpm27x2_mp,iw6_cpm27x2,WEAPON_M27,PERKS/LMG_M27,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
38,weapon_lmg,WEAPON_M27,iw6_cpm27x3_mp,iw6_cpm27x3,WEAPON_M27,PERKS/LMG_M27,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
39,weapon_lmg,WEAPON_KAC,iw6_cpkac_mp,iw6_cpkac,WEAPON_KAC,PERKS_LMG_KAC,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,1,,,,,,,
40,weapon_lmg,WEAPON_KAC,iw6_cpkacx2_mp,iw6_cpkacx2,WEAPON_KAC,PERKS_LMG_KAC,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
41,weapon_lmg,WEAPON_KAC,iw6_cpkacx3_mp,iw6_cpkacx3,WEAPON_KAC,PERKS_LMG_KAC,0,8,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
42,weapon_lmg,WEAPON_KAC,iw6_arkalienkac_mp,iw6_arkalienkac,WEAPON_KAC,PERKS_LMG_KAC,0,8,,xmags,rof,barrelrange,grip,alienmuzzlebrake,flashsuppress,eotech,reflex,acog,fmj,,,,,,,,,,
43,weapon_lmg,WEAPON/AMELI,iw6_arkalienameli_mp,iw6_arkalienameli,weapon_ameli,PERKS/LMG_AMELI,0,8,,xmags,rof,barrelrange,reflex,acog,eotech,thermal,grip,alienmuzzlebrake,,,,,,,,,,,
44,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
45,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun_mp,iw6_alienminigun,weapon_m320,PERKS_LMG,0,8,,,,,,,,,,,,,,,,,,,,,
46,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun1_mp,iw6_alienminigun1,weapon_m320,PERKS_LMG,0,8,,,,,,,,,,,,,,,,,,,,,
47,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun2_mp,iw6_alienminigun2,weapon_m320,PERKS_LMG,0,10,,,,,,,,,,,,,,,,,,,,,
48,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun3_mp,iw6_alienminigun3,weapon_m320,PERKS_LMG,0,10,,,,,,,,,,,,,,,,,,,,,
49,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun4_mp,iw6_alienminigun4,weapon_m320,PERKS_LMG,0,10,,,,,,,,,,,,,,,,,,,,,
50,weapon_misc,WEAPON/AXE,alienaxe_mp_mp,alienaxe_mp,weapon_riotshield,PERKS/RIOT_SHIELD,0,10,,,,,,,,,,,,,,,,,,,,,
51,weapon_misc,WEAPON_LASERDRILL,alienbomb_mp_mp,alienbomb_mp,weapon_m320,PERKS_LMG,0,8,,,,,,,,,,,,,,,,,,,,,
52,weapon_misc,WEAPON_SOFLAM,aliensoflam_mp_mp,aliensoflam_mp,weapon_m320,PERKS_LMG,0,10,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
54,weapon_pistol,WEAPON_MAGNUM,iw6_cpmagnum_mp,iw6_cpmagnum,WEAPON_MAGNUM,PERKS/PISTOL_M9A1,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,tactical,,,,,,,,,,,,1,,
55,weapon_pistol,WEAPON_M9A1,iw6_cpm9a1_mp,iw6_cpm9a1,WEAPON_M9A1,PERKS/PISTOL_M9A1,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,,,,,,,1,,
56,weapon_pistol,WEAPON_P226,iw6_cpp226_mp,iw6_cpp226,WEAPON_P226,PERKS/PISTOL_P226,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,,,,,,,1,,
57,weapon_pistol,WEAPON_MP443,iw6_cpmp443_mp,iw6_cpmp443,WEAPON_P226,PERKS/PISTOL_MP443,0,10,,akimbo,tactical,barrelrange,xmags,,,,,,,,,,,,,,1,,
58,weapon_pistol,WEAPON_MAGNUM,iw5_cpmagnum_mp,iw5_cpmagnum,WEAPON_MAGNUM,PERKS_PISTOL_MAGNUM,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,tactical,,,,,,,,,,,,,,
59,weapon_pistol,WEAPON_M9A1,iw5_cpm9a1_mp,iw5_cpm9a1,weapon_alienm9a1,PERKS/PISTOL_M9A1,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,,,,,,,,,
60,weapon_pistol,WEAPON_P226,iw5_cpp226_mp,iw5_cpp226,WEAPON_P226,PERKS/PISTOL_P226,0,10,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,,,,,,,,,
61,weapon_pistol,WEAPON_MP443,iw5_cpmp443_mp,iw5_cpmp443,WEAPON_P226,PERKS/PISTOL_MP443,0,10,,akimbo,tactical,barrelrange,xmags,,,,,,,,,,,,,,,,
62,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
63,weapon_projectile,WEAPON_MK32,iw6_alienmk32_mp,iw6_alienmk32,weapon_m320,PERKS_LAUNCHER_GL,0,8,,,,,,,,,,,,,,,,,,,,,
64,weapon_projectile,WEAPON_MK32,iw6_alienmk321_mp,iw6_alienmk321,weapon_m320,PERKS_LAUNCHER_GL,0,8,,,,,,,,,,,,,,,,,,,,,
65,weapon_projectile,WEAPON_MK32,iw6_alienmk322_mp,iw6_alienmk322,weapon_m320,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
66,weapon_projectile,WEAPON_MK32,iw6_alienmk323_mp,iw6_alienmk323,weapon_m320,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
67,weapon_projectile,WEAPON_MK32,iw6_alienmk324_mp,iw6_alienmk324,weapon_m320,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
68,weapon_projectile,WEAPON_RGM,iw6_cprgm_mp,iw6_cprgm,WEAPON_RGM,PERKS_LAUNCHER_GL,0,9.5,,,,,,,,,,,,,,,,,,1,,,
69,weapon_projectile,WEAPON_PANZERFAUST3,iw6_cppanzerfaust3_mp,iw6_cppanzerfaust3,WEAPON_PANZERFAUST3,PERKS/LAUNCHER_ROCKET,0,8,,,,,,,,,,,,,,,,,,1,,,
70,weapon_projectile,WEAPON_MAAWS,iw6_alienmaaws_mp,iw6_alienmaaws,weapon_missing_image,PERKS/LAUNCHER_ROCKET,0,8,,,,,,,,,,,,,,,,,,,,,
71,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11_mp,iw6_alienDLC11,WEAPON_PANZERFAUST3,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
72,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11fi_mp,iw6_alienDLC11fi,WEAPON_PANZERFAUST3,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
73,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11li_mp,iw6_alienDLC11li,WEAPON_PANZERFAUST3,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
74,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11sp_mp,iw6_alienDLC11sp,WEAPON_PANZERFAUST3,PERKS_LAUNCHER_GL,0,10,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
76,weapon_riot,WEAPON/RIOTSHIELD,iw5_alienriotshield1v,iw5_alienriotshield1,weapon_riotshield,PERKS/RIOT_SHIELD,0,9,,,,,,,,,,,,,,,,,,,,,
77,weapon_riot,WEAPON/RIOTSHIELD,iw5_alienriotshield_mp,iw5_alienriotshield,weapon_riotshield,PERKS/RIOT_SHIELD,0,8,,,,,,,,,,,,,,,,,1,,,,
78,weapon_riot,WEAPON/RIOTSHIELD,iw5_alienriotshield2v,iw5_alienriotshield2,weapon_riotshield,PERKS/RIOT_SHIELD,0,10,,,,,,,,,,,,,,,,,,,,,
79,weapon_riot,WEAPON/RIOTSHIELD,iw5_alienriotshield3_mp,iw5_alienriotshield3,weapon_riotshield,PERKS/RIOT_SHIELD,0,10,,,,,,,,,,,,,,,,,,,,,
80,weapon_riot,WEAPON/RIOTSHIELD,iw5_alienriotshield4_mp,iw5_alienriotshield4,weapon_riotshield,PERKS/RIOT_SHIELD,0,10,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
82,weapon_shotgun,WEAPON_MTS255,iw6_cpmts255_mp,iw6_cpmts255,WEAPON_MTS255,PERKS/SHOTGUN_MTS255,0,10,,barrelrange,grip,silencer,ammoslug,,,,,,,,,,1,,,,,,
83,weapon_shotgun,WEAPON_MTS255,iw6_cpmts255x2_mp,iw6_cpmts255x2,WEAPON_MTS255,PERKS/SHOTGUN_MTS255,0,10,,barrelrange,grip,silencer,ammoslug,,,,,,,,,,,,,,,,
84,weapon_shotgun,WEAPON_MTS255,iw6_cpmts255x3_mp,iw6_cpmts255x3,WEAPON_MTS255,PERKS/SHOTGUN_MTS255,0,10,,barrelrange,grip,silencer,ammoslug,,,,,,,,,,,,,,,,
85,weapon_shotgun,WEAPON_FP6,iw6_cpfp6_mp,iw6_cpfp6,WEAPON_FP6,PERKS/SHOTGUN_FP6,0,10,,xmags,barrelrange,grip,silencer,ammoslug,reflex,eotech,,,,,,,1,,,,,,
86,weapon_shotgun,WEAPON_FP6,iw6_cpfp6x2_mp,iw6_cpfp6x2,WEAPON_FP6,PERKS/SHOTGUN_FP6,0,10,,xmags,barrelrange,grip,silencer,ammoslug,reflex,eotech,,,,,,,,,,,,,
87,weapon_shotgun,WEAPON_FP6,iw6_cpfp6x3_mp,iw6_cpfp6x3,WEAPON_FP6,PERKS/SHOTGUN_FP6,0,10,,xmags,barrelrange,grip,silencer,ammoslug,reflex,eotech,,,,,,,,,,,,,
88,weapon_shotgun,WEAPON_MAUL,iw6_cpmaul_mp,iw6_cpmaul,WEAPON_MAUL,PERKS/SHOTGUN_MAUL,0,10,,xmags,grip,ammoslug,reflex,eotech,,,,,,,,,1,,,,,,
89,weapon_shotgun,WEAPON_MAUL,iw6_cpmaulx2_mp,iw6_cpmaulx2,WEAPON_MAUL,PERKS/SHOTGUN_MAUL,0,10,,xmags,grip,ammoslug,reflex,eotech,,,,,,,,,,,,,,,
90,weapon_shotgun,WEAPON_MAUL,iw6_cpmaulx3_mp,iw6_cpmaulx3,WEAPON_MAUL,PERKS/SHOTGUN_MAUL,0,10,,xmags,grip,ammoslug,reflex,eotech,,,,,,,,,,,,,,,
91,weapon_shotgun,WEAPON_MAUL,iw6_arkalienmaul_mp,iw6_arkalienmaul,WEAPON_MAUL,PERKS/SHOTGUN_MAUL,0,10,,xmags,grip,ammoslug,reflex,eotech,alienmuzzlebrake,,,,,,,,,,,,,,
92,weapon_shotgun,WEAPON_UTS15,iw6_arkalienuts15v,iw6_arkalienuts15,WEAPON_UTS15,PERKS/SHOTGUN_UTS15,0,10,,grip,barrelrange,reflex,eotech,,,alienmuzzlebrake,,,,,,,,,,,,,
93,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
94,weapon_smg,WEAPON_KRISS,iw6_cpkriss_mp,iw6_cpkriss,WEAPON_KRISS,PERKS/SMG_KRISS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
95,weapon_smg,WEAPON_KRISS,iw6_cpkrissx2_mp,iw6_cpkrissx2,WEAPON_KRISS,PERKS/SMG_KRISS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
96,weapon_smg,WEAPON_KRISS,iw6_cpkrissx3_mp,iw6_cpkrissx3,WEAPON_KRISS,PERKS/SMG_KRISS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
97,weapon_smg,WEAPON_PP19,iw6_cppp19_mp,iw6_cppp19,WEAPON_PP19,PERKS/SMG_PP19,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,1,,,,,
98,weapon_smg,WEAPON_PP19,iw6_cppp19x2_mp,iw6_cppp19x2,WEAPON_PP19,PERKS/SMG_PP19,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
99,weapon_smg,WEAPON_PP19,iw6_cppp19x3_mp,iw6_cppp19x3,WEAPON_PP19,PERKS/SMG_PP19,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
100,weapon_smg,WEAPON_VEPR,iw6_cpvepr_mp,iw6_cpvepr,WEAPON_VEPR,PERKS/SMG_VEPR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
101,weapon_smg,WEAPON_VEPR,iw6_cpveprx2_mp,iw6_cpveprx2,WEAPON_VEPR,PERKS/SMG_VEPR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
102,weapon_smg,WEAPON_VEPR,iw6_cpveprx3_mp,iw6_cpveprx3,WEAPON_VEPR,PERKS/SMG_VEPR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
103,weapon_smg,WEAPON_MICROTAR,iw6_cpmicrotar_mp,iw6_cpmicrotar,WEAPON_MICROTAR,PERKS/SMG_MICROTAR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,1,,,,,
104,weapon_smg,WEAPON_MICROTAR,iw6_cpmicrotarx2_mp,iw6_cpmicrotarx2,WEAPON_MICROTAR,PERKS/SMG_MICROTAR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
105,weapon_smg,WEAPON_MICROTAR,iw6_cpmicrotarx3_mp,iw6_cpmicrotarx3,WEAPON_MICROTAR,PERKS/SMG_MICROTAR,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
106,weapon_smg,WEAPON_CBJMS,iw6_cpcbjms_mp,iw6_aliencbjms,WEAPON_CBJMS,PERKS/SMG_CBJMS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
107,weapon_smg,WEAPON_CBJMS,iw6_cpcbjmsx2_mp,iw6_aliencbjmsx2,WEAPON_CBJMS,PERKS/SMG_CBJMS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
108,weapon_smg,WEAPON_CBJMS,iw6_cpcbjmsx3_mp,iw6_aliencbjmsx3,WEAPON_CBJMS,PERKS/SMG_CBJMS,0,10,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,,,,,,,,,
109,weapon_smg,DLC_WEAPON_2,iw6_cpripper_mp_dlcweap02scope,iw6_cpripper,weapon_dlcweap02,DLC_WEAPON_2_DESC,0,10,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,,,,,,,,1,,,,,
110,weapon_smg,DLC_WEAPON_2,iw6_cpripperx2_mp,iw6_cpripperx2,weapon_dlcweap02,DLC_WEAPON_2_DESC,0,10,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,,,,,,,,,,,,,
111,weapon_smg,DLC_WEAPON_2,iw6_cpripperx3_mp,iw6_cpripperx3,weapon_dlcweap02,DLC_WEAPON_2_DESC,0,10,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,,,,,,,,,,,,,
112,weapon_smg,DLC_WEAPON_2,iw6_arkaliendlc23_mp,iw6_arkaliendlc23,weapon_dlcweap02,DLC_WEAPON_2_DESC,0,10,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,alienmuzzlebrake,,,,,,,,,,,,
113,weapon_smg,WEAPON_K7,iw6_arkalienk7_mp,iw6_arkalienk7,weapon_k7_ui,PERKS/SMG_K7,0,10,,rof,grip,reflex,acog,eotech,thermal,alienmuzzlebrake,,,,,,,,,,,,,
114,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
115,weapon_sniper,WEAPON_VKS,iw6_cpvks_mp_alienvksscope,iw6_cpvks,WEAPON_VKS,PERKS/SNIPER_VKS,0,9,,xmags,,scope,acog,fmj,vzscope,barrelrange,,,,,,,,,1,,,,
116,weapon_sniper,WEAPON_VKS,iw6_cpvksx2_mp,iw6_cpvksx2,WEAPON_VKS,PERKS/SNIPER_VKS,0,9,,xmags,,scope,acog,fmj,vzscope,barrelrange,,,,,,,,,,,,,
117,weapon_sniper,WEAPON_VKS,iw6_cpvksx3_mp,iw6_cpvksx3,WEAPON_VKS,PERKS/SNIPER_VKS,0,9,,xmags,,scope,acog,fmj,vzscope,barrelrange,,,,,,,,,,,,,
118,weapon_sniper,WEAPON_L115A3,iw6_cpl115a3_mp_acogsniper,iw6_cpl115a3,WEAPON_L115A3,PERKS/SNIPER_L115A3,0,8,,xmags,,scope,acog,fmj,scope,barrelrange,,,,,,,,,1,,,,
119,weapon_sniper,WEAPON_L115A3,iw6_cpl115a3x2_mp,iw6_cpl115a3x2,WEAPON_L115A3,PERKS/SNIPER_L115A3,0,8,,xmags,,scope,acog,fmj,scope,barrelrange,,,,,,,,,,,,,
120,weapon_sniper,WEAPON_L115A3,iw6_cpl115a3x3_mp,iw6_cpl115a3x3,WEAPON_L115A3,PERKS/SNIPER_L115A3,0,8,,xmags,,scope,acog,fmj,scope,barrelrange,,,,,,,,,,,,,
121,weapon_sniper,WEAPON_VKS,iw6_arkalienvks_mp,iw6_arkalienvks,WEAPON_VKS,PERKS/SNIPER_VKS,0,9,,xmags,,scope,acog,fmj,vzscope,barrelrange,alienmuzzlebrake,,,,,,,,,,,,
