a0,b1,c2,d3,,,,,,,
180000,189999,emblems,11,0,LOOT_MP/EMBLEM,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
190000,199999,sprays,22,0,LOOT_MP/SPRAYS,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
200000,209999,consumable,25,0,LOOT_MP/CONSUMABLE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
210000,219999,gestures,16,0,LOOT_MP/GESTURES,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
220000,229999,executions,19,0,LOOT_MP/OPERATOR_EXECUTION,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
230000,239999,taunts,99,0,LOOT_MP/OPERATOR_TAUNT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
240000,249999,intro,20,0,LOOT_MP/OPERATOR_INTRO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
250000,259999,flares,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
260000,269999,parachute,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
270000,279999,camo,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
280000,289999,super,17,0,LOOT_MP/FIELD_UPGRADE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
290000,299999,loadingscreens,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
300000,309999,operator_quip,26,0,LOOT_MP/OPERATOR_QUIP,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
310000,319999,fx,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
320000,329999,#Loot Crates,21,1,LOOT_MP/LOOT_BOX,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
330000,339999,sticker,15,0,LOOT_MP/STICKER,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
340000,349999,dlc,99,0,LOOT_MP/,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
350000,359999,feature,23,0,LOOT_MP/FEATURE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
360000,369999,special,29,0,MENU/FRANCHISE_NAME,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
370000,379999,firstpartylicence,24,1,LOOT_MP/,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
390000,399999,tracker,99,1,LOOT_MP/,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
400000,409999,bundle,27,0,LOOT_MP/,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
410000,419999,role,5,0,LOOT_MP/FIELD_UPGRADE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
430000,439999,battlepass,28,0,LOOT_MP/BATTLE_PASS,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
470000,479999,vehicle_horn,31,0,LOOT_MP/VEHICLE_HORN,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
480000,489999,vehicle_camo,30,0,LOOT_MP/VEHICLE_SKIN,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
490000,499999,mission,32,0,LOOT_MP/MISSION,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
1001000,1001999,iw8_pi_golf21_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_golf21,
1002000,1002999,iw8_pi_papa320_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_papa320,
1003000,1003999,iw8_pi_decho_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_decho,
1004000,1004999,iw8_pi_mike1911_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike1911,
1005000,1005999,iw8_pi_cpapa_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_cpapa,
1006000,1006999,iw8_sm_mpapa5_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa5,
1007000,1007999,iw8_sm_beta_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_beta,
1008000,1008999,iw8_sm_augolf_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_augolf,
1009000,1009999,iw8_sm_papa90_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_papa90,
1010000,1010999,iw8_sm_mpapa7_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa7,
1011000,1011999,iw8_sm_uzulu_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_uzulu,
1013000,1013999,iw8_me_riotshield_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_riotshield,
1014000,1014999,iw8_knife_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_knife,
1015000,1015999,iw8_ar_mike4_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mike4,
1016000,1016999,iw8_ar_akilo47_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_akilo47,
1017000,1017999,iw8_ar_asierra12_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_asierra12,
1018000,1018999,iw8_ar_falpha_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falpha,
1019000,1019999,iw8_ar_mcharlie_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mcharlie,
1020000,1020999,iw8_ar_kilo433_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_kilo433,
1021000,1021999,iw8_ar_falima_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falima,
1022000,1022999,iw8_ar_scharlie_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_scharlie,
1023000,1023999,iw8_la_rpapa7_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_rpapa7,
1024000,1024999,iw8_la_gromeo_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_gromeo,
1025000,1025999,iw8_la_juliet_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_juliet,
1026000,1026999,iw8_la_kgolf_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_kgolf,
1027000,1027999,iw8_sn_mike14_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_mike14,
1028000,1028999,iw8_sn_kilo98_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_kilo98,
1029000,1029999,iw8_sn_sbeta_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sbeta,
1030000,1030999,iw8_sn_alpha50_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_alpha50,
1031000,1031999,iw8_sn_delta_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_delta,
1032000,1032999,iw8_sn_hdromeo_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_hdromeo,
1033000,1033999,iw8_sn_crossbow_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_crossbow,
1034000,1034999,iw8_sh_dpapa12_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_dpapa12,
1035000,1035999,iw8_sh_oscar12_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_oscar12,
1036000,1036999,iw8_sh_charlie725_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_charlie725,
1037000,1037999,iw8_sh_romeo870_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_romeo870,
1038000,1038999,iw8_lm_kilo121_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_kilo121,
1039000,1039999,iw8_lm_pkilo_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_pkilo,
1040000,1040999,iw8_lm_lima86_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_lima86,
1041000,1041999,iw8_lm_mgolf34_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf34,
1205000,1205999,iw8_ar_tango21_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_tango21,
1210000,1210999,iw8_lm_mgolf36_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf36,
1234000,1234999,iw8_sm_smgolf45_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_smgolf45,
1340000,1340999,iw8_sh_mike26_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_mike26,
1346000,1346999,iw8_ar_sierra552_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_sierra552,
1536000,1536999,iw8_sn_sksierra_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sksierra,
1430000,1430999,iw8_pi_mike9_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike9,
1546000,1546999,iw8_lm_mkilo3_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mkilo3,
1626000,1626999,iw8_ar_galima_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_galima,
1631000,1631999,iw8_sm_victor_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_victor,
1709000,1709999,iw8_me_akimboblades_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblades,
1714000,1714999,iw8_me_akimboblunt_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblunt,
1807000,1807999,iw8_ar_anovember94_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_anovember94,
1229000,1229999,iw8_sm_charlie9_attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_charlie9,
2001000,2001999,iw8_pi_golf21_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_golf21,
2002000,2002999,iw8_pi_papa320_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_papa320,
2003000,2003999,iw8_pi_decho_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_decho,
2004000,2004999,iw8_pi_mike1911_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike1911,
2005000,2005999,iw8_pi_cpapa_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_cpapa,
2006000,2006999,iw8_sm_mpapa5_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa5,
2007000,2007999,iw8_sm_beta_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_beta,
2008000,2008999,iw8_sm_augolf_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_augolf,
2009000,2009999,iw8_sm_papa90_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_papa90,
2010000,2010999,iw8_sm_mpapa7_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa7,
2011000,2011999,iw8_sm_uzulu_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_uzulu,
2013000,2013999,iw8_me_riotshield_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_riotshield,
2014000,2014999,iw8_knife_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_knife,
2015000,2015999,iw8_ar_mike4_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mike4,
2016000,2016999,iw8_ar_akilo47_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_akilo47,
2017000,2017999,iw8_ar_asierra12_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_asierra12,
2018000,2018999,iw8_ar_falpha_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falpha,
2019000,2019999,iw8_ar_mcharlie_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mcharlie,
2020000,2020999,iw8_ar_kilo433_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_kilo433,
2021000,2021999,iw8_ar_falima_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falima,
2022000,2022999,iw8_ar_scharlie_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_scharlie,
2023000,2023999,iw8_la_rpapa7_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_rpapa7,
2024000,2024999,iw8_la_gromeo_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_gromeo,
2025000,2025999,iw8_la_juliet_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_juliet,
2026000,2026999,iw8_la_kgolf_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_kgolf,
2027000,2027999,iw8_sn_mike14_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_mike14,
2028000,2028999,iw8_sn_kilo98_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_kilo98,
2029000,2029999,iw8_sn_sbeta_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sbeta,
2030000,2030999,iw8_sn_alpha50_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_alpha50,
2031000,2031999,iw8_sn_delta_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_delta,
2032000,2032999,iw8_sn_hdromeo_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_hdromeo,
2033000,2033999,iw8_sn_crossbow_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_crossbow,
2034000,2034999,iw8_sh_dpapa12_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_dpapa12,
2035000,2035999,iw8_sh_oscar12_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_oscar12,
2036000,2036999,iw8_sh_charlie725_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_charlie725,
2037000,2037999,iw8_sh_romeo870_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_romeo870,
2038000,2038999,iw8_lm_kilo121_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_kilo121,
2039000,2039999,iw8_lm_pkilo_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_pkilo,
2040000,2040999,iw8_lm_lima86_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_lima86,
2041000,2041999,iw8_lm_mgolf34_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf34,
2205000,2205999,iw8_ar_tango21_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_tango21,
2210000,2210999,iw8_lm_mgolf36_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf36,
2234000,2234999,iw8_sm_smgolf45_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_smgolf45,
2340000,2340999,iw8_sh_mike26_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_mike26,
2346000,2346999,iw8_ar_sierra552_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_sierra552,
2536000,2536999,iw8_sn_sksierra_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sn_sksierra,
2430000,2430999,iw8_pi_mike9_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_pi_mike9,
2546000,2546999,iw8_lm_mkilo3_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_lm_mkilo3,
2626000,2626999,iw8_ar_galima_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_ar_galima,
2631000,2631999,iw8_sm_victor_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sm_victor,
2709000,2709999,iw8_me_akimboblades_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblades,
2714000,2714999,iw8_me_akimboblunt_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblunt,
2807000,2807999,iw8_ar_anovember94_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_ar_anovember94,
2229000,2229999,iw8_sm_charlie9_camos,12,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sm_charlie9,
7000000,7999999,gs_save_slot,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
