???#ID,#ref,#quality,#cost,#salvage,#license,#Name,#Image,
380029,noDeathsFromBehind,0,0,0,0,MP_ACCOLADES_TODO,white,
380030,shortestLife,0,0,0,0,MP_ACCOLADES_TODO,white,
380031,longestLife,0,0,0,0,MP_ACCOLADES_TODO,white,
380032,damageDealt,0,0,0,0,MP_ACCOLADES_TODO,white,
380033,damageTaken,0,0,0,0,MP_ACCOLADES_TODO,white,
380034,highestMultikill,0,0,0,0,MP_ACCOLADES_TODO,white,
380035,mostMultikills,0,0,0,0,MP_ACCOLADES_TODO,white,
380036,revives,0,0,0,0,MP_ACCOLADES_TODO,white,
380037,penetrationKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380038,revengeKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380039,avengerKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380040,defenderKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380041,longshotKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380042,pointBlankKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380043,oneShotOneKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380044,executionKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380045,comebackKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380046,explosionsSurvived,0,0,0,0,MP_ACCOLADES_TODO,white,
380047,killEnemyTeam,0,0,0,0,MP_ACCOLADES_TODO,white,
380048,timeCrouched,0,0,0,0,MP_ACCOLADES_TODO,white,
380049,timeProne,0,0,0,0,MP_ACCOLADES_TODO,white,
380050,distanceTravelled,0,0,0,0,MP_ACCOLADES_TODO,white,
380051,highestAvgAltitude,0,0,0,0,MP_ACCOLADES_TODO,white,
380052,lowestAvgAltitude,0,0,0,0,MP_ACCOLADES_TODO,white,
380053,meleeKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380054,pistolKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380055,launcherKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380056,shotgunKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380057,smgKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380058,arKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380059,lmgKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380060,sniperKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380061,pistolHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380062,launcherHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380063,shotgunHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380064,smgHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380065,arHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380066,lmgHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380067,sniperHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380068,meleeDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380069,pistolPeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380070,launcherDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380071,shotgunDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380072,smgDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380073,arDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380074,lmgDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380075,sniperDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380076,riotShieldDamageAbsorbed,0,0,0,0,MP_ACCOLADES_TODO,white,
380077,killstreakPersonalUAVKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380078,killstreakShieldTurretKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380079,killstreakUAVAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380080,killstreakCUAVAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380081,killstreakCarePackageUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380082,killstreakCluserStrikeKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380083,killstreakCruiseMissileKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380084,killstreakAirstrikeKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380085,killstreakTankKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380086,killstreakSentryGunKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380087,killstreakWheelsonKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380088,killstreakEmergencyAirdropUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380089,killstreakVTOLJetKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380090,killstreakWhitePhosphorousKillsAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380091,killstreakChopperGunnerKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380092,killstreakChopperSupportKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380093,killstreakGunshipKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380094,killstreakAUAVAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380095,killstreakJuggernautKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380096,killstreakKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380097,killstreakAirKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380098,killstreakGroundKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380099,destroyedKillstreaks,0,0,0,0,MP_ACCOLADES_TODO,white,
380100,fragKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380101,semtexKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380102,molotovKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380103,claymoreKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380104,throwingKnifeKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380105,arKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380106,thermiteKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380107,proximityMineKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380108,flashbangHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380109,smokesUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380110,stunHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380111,stimDamageHealed,0,0,0,0,MP_ACCOLADES_TODO,white,
380112,decoyHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380113,gasHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380114,snapshotHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380115,ammoBoxUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380116,reconDroneMarks,0,0,0,0,MP_ACCOLADES_TODO,white,
380117,empDroneHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380118,stoppingPowerKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380119,trophySystemHits,0,0,0,0,MP_ACCOLADES_TODO,white,
380120,deadSilenceKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380121,tacticalInsertionSpawns,0,0,0,0,MP_ACCOLADES_TODO,white,
380122,deployableCoverUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380123,defends,0,0,0,0,MP_ACCOLADES_TODO,white,
380124,assaults,0,0,0,0,MP_ACCOLADES_TODO,white,
380125,pickups,0,0,0,0,MP_ACCOLADES_TODO,white,
380126,captures,0,0,0,0,MP_ACCOLADES_TODO,white,
380127,returns,0,0,0,0,MP_ACCOLADES_TODO,white,
380128,carrierKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380129,bombPlanted,0,0,0,0,MP_ACCOLADES_TODO,white,
380130,bombDefused,0,0,0,0,MP_ACCOLADES_TODO,white,
380131,bombDetonated,0,0,0,0,MP_ACCOLADES_TODO,white,
380132,clutch,0,0,0,0,MP_ACCOLADES_TODO,white,
380133,clutchRevives,0,0,0,0,MP_ACCOLADES_TODO,white,
380134,tagsCaptured,0,0,0,0,MP_ACCOLADES_TODO,white,
380135,tagsDenied,0,0,0,0,MP_ACCOLADES_TODO,white,
380136,tagsMegaBanked,0,0,0,0,MP_ACCOLADES_TODO,white,
380137,tagsLargestBank,0,0,0,0,MP_ACCOLADES_TODO,white,
380138,firstInfected,0,0,0,0,MP_ACCOLADES_TODO,white,
380139,survivorKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380140,infectedKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380141,lastSurvivor,0,0,0,0,MP_ACCOLADES_TODO,white,
380142,setbacks,0,0,0,0,MP_ACCOLADES_TODO,white,
380143,longestTimeSpentOnWeapon,0,0,0,0,MP_ACCOLADES_TODO,white,
380144,carepackagesCaptured,0,0,0,0,MP_ACCOLADES_TODO,white,
380145,spawnSelectSquad,0,0,0,0,MP_ACCOLADES_TODO,white,
380146,spawnSelectVehicle,0,0,0,0,MP_ACCOLADES_TODO,white,
380147,spawnSelectFlag,0,0,0,0,MP_ACCOLADES_TODO,white,
380148,spawnSelectBase,0,0,0,0,MP_ACCOLADES_TODO,white,
380149,timesSelectedAsSquadLeader,0,0,0,0,MP_ACCOLADES_TODO,white,
380150,timeSpentAsDriver,0,0,0,0,MP_ACCOLADES_TODO,white,
380151,timeSpentAsPassenger,0,0,0,0,MP_ACCOLADES_TODO,white,
380152,distanceTraveledInVehicle,0,0,0,0,MP_ACCOLADES_TODO,white,
380153,timeOnPoint,0,0,0,0,MP_ACCOLADES_TODO,white,
380154,munitionsBoxUsed,0,0,0,0,MP_ACCOLADES_TODO,white,
380155,killstreakAssaultDroneKills,0,0,0,0,MP_ACCOLADES_TODO,white,
