0,0,29774561|28713239|26000645|24458083,0,107478,ch_quest146_stage001|ch_quest148_stage001,0,4,mw_battlepass_billboard_000_a|mw_battlepass_billboard_000_b|mw_battlepass_billboard_000_c|mw_battlepass_billboard_000_d,1|0|0|0,1|1|0|0,0|0|0|0,,
74,10854093,350013,0,195855,,100,1,mw_battlepass_billboard_074,0,0,0,,
75,11049948,31401749,0,197450,,0,1,mw_battlepass_billboard_075,0,1,0,,
76,11247398,31297372,0,199057,,0,1,mw_battlepass_billboard_076,0,1,0,,
77,11446455,23284850,1,200679,,0,1,mw_battlepass_billboard_077,0,0,0,,
78,11647134,28150952,0,202312,,0,1,mw_battlepass_billboard_078,0,0,0,,
79,11849446,25416788,0,203959,,0,1,mw_battlepass_billboard_079,0,0,0,,
80,12053405,30089796,0,205620,ch_quest147_stage001,0,1,mw_battlepass_billboard_080,0,1,0,,
81,12259025,19583081,1,207294,,0,1,mw_battlepass_billboard_081,0,1,0,,
82,12466319,350013,0,208983,,100,1,mw_battlepass_billboard_082,0,0,0,,
83,12675302,30886333,0,210683,,0,1,mw_battlepass_billboard_083,0,0,0,,
84,12885985,22416078,1,212400,,0,1,mw_battlepass_billboard_084,0,0,0,,
85,13098385,24425291,0,214128,,0,1,mw_battlepass_billboard_085,0,1,0,,
86,13312513,24660136,0,215872,,0,1,mw_battlepass_billboard_086,0,0,0,,
87,13528385,19262075,0,217630,,0,1,mw_battlepass_billboard_087,0,0,0,,
88,13746015,26608828,0,219402,,0,1,mw_battlepass_billboard_088,0,0,0,,
89,13965417,20417829,0,221188,,0,1,mw_battlepass_billboard_089,0,1,0,,
90,14186605,29578215,1,222989,ch_quest156_stage001,0,1,mw_battlepass_billboard_090,0,1,0,,
91,14409594,350013,0,224805,,100,1,mw_battlepass_billboard_091,0,0,0,,
92,14634399,23883853,0,226635,,0,1,mw_battlepass_billboard_092,0,0,0,,
93,14861034,21784614,0,228481,,0,1,mw_battlepass_billboard_093,0,0,0,,
94,15089515,26974369|32275263|20059494,1,230341,,0,1,mw_battlepass_billboard_094,0,0,0,,
95,15319856,26765529,0,232216,,0,1,mw_battlepass_billboard_095,0,1,0,,
96,15552072,32109261,0,234107,,0,1,mw_battlepass_billboard_096,0,0,0,,
97,15786179,19524120,0,236014,,0,1,mw_battlepass_billboard_097,0,0,0,,
98,16022193,350013,1,237935,,100,1,mw_battlepass_billboard_098,0,0,0,,
99,16260128,30557676,0,239872,,0,1,mw_battlepass_billboard_099,0,0,0,,
100,16500000,31699051|31774619|30387922|25132137,0,0,ch_quest157_stage001,0,4,mw_battlepass_billboard_100|mw_battlepass_billboard_100_a|mw_battlepass_billboard_100_b|mw_battlepass_billboard_100_c,1|1|0|0,1|1|0|0,0|0|480021|0,0|0|mw_battlepass_billboard_100_b_alt|0,
