cwl,LUA_MENU_MP/CWL,,50020,,0,0,,image_basicstore_cwl,,LUA_MENU_MP/CWL_PERSONALIZATION_PACK,300,1,
mappack1,LUA_MENU_MP/MAPPACK1,6d12c5e7-0229-4eef-99fd-b8a6cae1edf3,14,CODIWTHEDLC10001,0,1,CODIWTHEDLC10001,image_basicstore_dlc1,,LUA_MENU_MP/MAPPACK1_DESC,0,1,
announcer1,ANNOUNCERS/UK_SPECIAL_FORCES,43063fac-6cea-4654-afab-8032cfe581e0,15,ANNOUNCERPACK001,0,1,ANNOUNCERPACK001,image_basicstore_announcer001,9N454V5Z70S8,ANNOUNCERS/UK_SPECIAL_FORCES,0,1,
announcer2,ANNOUNCERS/RAPPER,09a908ec-814d-4397-abdb-7c4fdb980e1b,16,ANNOUNCERPACK002,0,1,ANNOUNCERPACK002,image_basicstore_announcer002,9P0PD9QZ3L87,ANNOUNCERS/RAPPER,0,1,
announcer3,ANNOUNCERS/REVIEWER,12738122-bf85-4d24-8f5e-5bdfea4c9f50,17,ANNOUNCERPACK003,0,1,ANNOUNCERPACK003,image_basicstore_announcer003,9P89V6MLPJ3Z,ANNOUNCERS/REVIEWER,0,1,
announcer4,ANNOUNCERS/VOICE4,5f988a84-66a6-4574-8165-724ed26f2424,18,ANNOUNCERPACK004,0,1,ANNOUNCERPACK004,image_basicstore_announcer004,9P8W1783B5FV,ANNOUNCERS/VOICE4,0,1,
code,LUA_MENU_MP/CODE,03902436-0b2f-4ef9-abad-9379f45f264d,10,CODIWCODEPACK001,0,1,IWCDE1,image_basicstore_codepack,9NX5XKRQS047,LUA_MENU_MP/CODE_PERSONALIZATION_PACK,0,1,
mappack2,LUA_MENU_MP_MAPPACK2,3cf0d4ee-13be-4582-85e5-f614be0df886,20,CODIWTHEDLC20001,0,1,CODIWTHEDLC20001,image_basicstore_dlc2,,LUA_MENU_MP_MAPPACK2_DESC,0,1,
s2deluxe,LUA_MENU_MP_S2_DELUXE,ca228a22-67af-49e5-977f-a80b93eaf33c,21,CODWWIIDELUXE001,0,1,CODWWIIDELUXE001,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0,
s2deluxeeu,LUA_MENU_MP_S2_DELUXE,,21,CODWWIIDELUXEPRE,0,1,CODWWIIDELUXEPRE,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0,
s2deluxeasia2,LUA_MENU_MP_S2_DELUXE,,21,ASIACODWWIIPRE02,0,1,ASIACODWWIIPRE02,image_basicstore_s2_digitaldeluxe,,LUA_MENU_MP_S2_DELUXE_DESC,0,0,
s2,LUA_MENU_MP/S2,cb2af416-e0b2-46cb-9630-2a1534e1c16d,19,CODWWIITHEGAME01,0,1,CODWWIITHEGAME01,image_basicstore_s2_base,,LUA_MENU_MP/S2_DESC,0,0,
s2eu,LUA_MENU_MP/S2,,19,CODWWIIGAMEPRE01,0,1,CODWWIIGAMEPRE01,image_basicstore_s2_base,,LUA_MENU_MP/S2_DESC,0,0,
s2asia1,LUA_MENU_MP/S2,,19,ASIACODWWIIPRE01,0,1,ASIACODWWIIPRE01,image_basicstore_s2_base,,LUA_MENU_MP/S2_DESC,0,0,
