a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,
34,,383500,20500,RANK/GSGT,RANK/GSGT_FULL5,,404000,,,,,,35,35,ranked_up_7,RANK/GSGT_FULL_N,
35,,404000,21100,RANK/MSGT,RANK/MSGT_FULL,,425100,,,,,,36,36,ranked_up_8,RANK/MSGT_FULL,
36,,425100,21700,RANK/MSGT,RANK/MSGT_FULL2,,446800,,,,,,37,37,ranked_up_8,RANK/MSGT_FULL_N,
37,,446800,22300,RANK/MSGT,RANK/MSGT_FULL3,,469100,,,,,,38,38,ranked_up_8,RANK/MSGT_FULL_N,
38,,469100,22900,RANK/MSGT,RANK/MSGT_FULL4,,492000,,,,,,39,39,ranked_up_8,RANK/MSGT_FULL_N,
39,,492000,23500,RANK/MSGT,RANK/MSGT_FULL5,,515500,,,,,,40,40,ranked_up_8,RANK/MSGT_FULL_N,
40,,515500,24200,RANK/MSGSGT,RANK/MSGSGT_FULL,,539700,,,,,,41,41,ranked_up_9,RANK/MSGSGT_FULL,
41,,539700,24900,RANK/MSGSGT,RANK/MSGSGT_FULL2,,564600,,,,,,42,42,ranked_up_9,RANK/MSGSGT_FULL_N,
42,,564600,25600,RANK/MSGSGT,RANK/MSGSGT_FULL3,,590200,,,,,,43,43,ranked_up_9,RANK/MSGSGT_FULL_N,
43,,590200,26300,RANK/MSGSGT,RANK/MSGSGT_FULL4,,616500,,,,,,44,44,ranked_up_9,RANK/MSGSGT_FULL_N,
44,,616500,27000,RANK/MSGSGT,RANK/MSGSGT_FULL5,,643500,,,,,,45,45,ranked_up_9,RANK/MSGSGT_FULL_N,
45,,643500,27800,RANK/SGTMAJ,RANK/SGTMAJ_FULL,,671300,,,,,,46,46,ranked_up_10,RANK/SGTMAJ_FULL,
46,,671300,28600,RANK/SGTMAJ,RANK/SGTMAJ_FULL2,,699900,,,,,,47,47,ranked_up_10,RANK/SGTMAJ_FULL_N,
47,,699900,29400,RANK/SGTMAJ,RANK/SGTMAJ_FULL3,,729300,,,,,,48,48,ranked_up_10,RANK/SGTMAJ_FULL_N,
48,,729300,30200,RANK/SGTMAJ,RANK/SGTMAJ_FULL4,,759500,,,,,,49,49,ranked_up_10,RANK/SGTMAJ_FULL_N,
49,,759500,31000,RANK/SGTMAJ,RANK/SGTMAJ_FULL5,,790500,,,,,,50,50,ranked_up_10,RANK/SGTMAJ_FULL_N,
50,,790500,31900,RANK/CSM,RANK/CSM_FULL,,822400,,,,,,51,51,ranked_up_11,RANK/CSM_FULL,
51,,822400,32900,RANK/CSM,RANK/CSM_FULL2,,855300,,,,,,52,52,ranked_up_11,RANK/CSM_FULL_N,
52,,855300,33900,RANK/CSM,RANK/CSM_FULL3,,889200,,,,,,53,53,ranked_up_11,RANK/CSM_FULL_N,
53,,889200,34900,RANK/CSM,RANK/CSM_FULL4,,924100,,,,,,54,54,ranked_up_11,RANK/CSM_FULL_N,
54,,924100,35900,RANK/CSM,RANK/CSM_FULL5,,960000,,,,,,55,55,ranked_up_11,RANK/CSM_FULL_N,
55,,0,20000,RANK/MSC_FULL,RANK/MSC_FULL,,20000,,,,,,56,56,ranked_up_11,RANK/MSC_FULL,
56,,20000,20200,RANK/MSC_FULL2,RANK/MSC_FULL2,,40200,,,,,,57,57,ranked_up_11,RANK/MSC_FULL2,
57,,40200,20400,RANK/MSC_FULL3,RANK/MSC_FULL3,,60600,,,,,,58,58,ranked_up_11,RANK/MSC_FULL3,
58,,60600,20600,RANK/MSC_FULL4,RANK/MSC_FULL4,,81200,,,,,,59,59,ranked_up_11,RANK/MSC_FULL4,
59,,81200,20800,RANK/MSC_FULL5,RANK/MSC_FULL5,,102000,,,,,,60,60,ranked_up_11,RANK/MSC_FULL5,
60,,102000,21000,RANK/WOF_FULL,RANK/WOF_FULL,,123000,,,,,,61,61,ranked_up_11,RANK/WOF_FULL,
61,,123000,21200,RANK/WOF_FULL2,RANK/WOF_FULL2,,144200,,,,,,62,62,ranked_up_11,RANK/WOF_FULL2,
62,,144200,21400,RANK/WOF_FULL3,RANK/WOF_FULL3,,165600,,,,,,63,63,ranked_up_11,RANK/WOF_FULL3,
63,,165600,21600,RANK/WOF_FULL4,RANK/WOF_FULL4,,187200,,,,,,64,64,ranked_up_11,RANK/WOF_FULL4,
64,,187200,21800,RANK/WOF_FULL5,RANK/WOF_FULL5,,209000,,,,,,65,65,ranked_up_11,RANK/WOF_FULL5,
65,,209000,22000,RANK/CWO2_FULL,RANK/CWO2_FULL,,231000,,,,,,66,66,ranked_up_11,RANK/CWO2_FULL,
66,,231000,22200,RANK/CWO2_FULL2,RANK/CWO2_FULL2,,253200,,,,,,67,67,ranked_up_11,RANK/CWO2_FULL2,
67,,253200,22400,RANK/CWO2_FULL3,RANK/CWO2_FULL3,,275600,,,,,,68,68,ranked_up_11,RANK/CWO2_FULL3,
68,,275600,22600,RANK/CWO2_FULL4,RANK/CWO2_FULL4,,298200,,,,,,69,69,ranked_up_11,RANK/CWO2_FULL4,
69,,298200,22800,RANK/CWO2_FULL5,RANK/CWO2_FULL5,,321000,,,,,,70,70,ranked_up_11,RANK/CWO2_FULL5,
70,,321000,23000,RANK/CWO3_FULL,RANK/CWO3_FULL,,344000,,,,,,71,71,ranked_up_11,RANK/CWO3_FULL,
71,,344000,23200,RANK/CWO3_FULL2,RANK/CWO3_FULL2,,367200,,,,,,72,72,ranked_up_11,RANK/CWO3_FULL2,
72,,367200,23400,RANK/CWO3_FULL3,RANK/CWO3_FULL3,,390600,,,,,,73,73,ranked_up_11,RANK/CWO3_FULL3,
73,,390600,23600,RANK/CWO3_FULL4,RANK/CWO3_FULL4,,414200,,,,,,74,74,ranked_up_11,RANK/CWO3_FULL4,
74,,414200,23800,RANK/CWO3_FULL5,RANK/CWO3_FULL5,,438000,,,,,,75,75,ranked_up_11,RANK/CWO3_FULL5,
75,,438000,24100,RANK/CWO4_FULL,RANK/CWO4_FULL,,462100,,,,,,76,76,ranked_up_11,RANK/CWO4_FULL,
76,,462100,24400,RANK/CWO4_FULL2,RANK/CWO4_FULL2,,486500,,,,,,77,77,ranked_up_11,RANK/CWO4_FULL2,
77,,486500,24700,RANK/CWO4_FULL3,RANK/CWO4_FULL3,,511200,,,,,,78,78,ranked_up_11,RANK/CWO4_FULL3,
78,,511200,25000,RANK/CWO4_FULL4,RANK/CWO4_FULL4,,536200,,,,,,79,79,ranked_up_11,RANK/CWO4_FULL4,
79,,536200,25300,RANK/CWO4_FULL5,RANK/CWO4_FULL5,,561500,,,,,,80,80,ranked_up_11,RANK/CWO4_FULL5,
80,,561500,25600,RANK/MWO_FULL,RANK/MWO_FULL,,587100,,,,,,81,81,ranked_up_11,RANK/MWO_FULL,
81,,587100,25900,RANK/MWO_FULL2,RANK/MWO_FULL2,,613000,,,,,,82,82,ranked_up_11,RANK/MWO_FULL2,
82,,613000,26200,RANK/MWO_FULL3,RANK/MWO_FULL3,,639200,,,,,,83,83,ranked_up_11,RANK/MWO_FULL3,
83,,639200,26500,RANK/MWO_FULL4,RANK/MWO_FULL4,,665700,,,,,,84,84,ranked_up_11,RANK/MWO_FULL4,
84,,665700,26800,RANK/MWO_FULL5,RANK/MWO_FULL5,,692500,,,,,,85,85,ranked_up_11,RANK/MWO_FULL5,
85,,692500,27200,RANK/ENS_FULL,RANK/ENS_FULL,,719700,,,,,,86,86,ranked_up_11,RANK/ENS_FULL,
86,,719700,27600,RANK/ENS_FULL2,RANK/ENS_FULL2,,747300,,,,,,87,87,ranked_up_11,RANK/ENS_FULL2,
87,,747300,28000,RANK/ENS_FULL3,RANK/ENS_FULL3,,775300,,,,,,88,88,ranked_up_11,RANK/ENS_FULL3,
88,,775300,28400,RANK/ENS_FULL4,RANK/ENS_FULL4,,803700,,,,,,89,89,ranked_up_11,RANK/ENS_FULL4,
89,,803700,28800,RANK/ENS_FULL5,RANK/ENS_FULL5,,832500,,,,,,90,90,ranked_up_11,RANK/ENS_FULL5,
90,,832500,29200,RANK/2NDLT_FULL,RANK/2NDLT_FULL,,861700,,,,,,91,91,ranked_up_11,RANK/2NDLT_FULL,
91,,861700,29600,RANK/2NDLT_FULL2,RANK/2NDLT_FULL2,,891300,,,,,,92,92,ranked_up_11,RANK/2NDLT_FULL2,
92,,891300,30000,RANK/2NDLT_FULL3,RANK/2NDLT_FULL3,,921300,,,,,,93,93,ranked_up_11,RANK/2NDLT_FULL3,
93,,921300,30400,RANK/2NDLT_FULL4,RANK/2NDLT_FULL4,,951700,,,,,,94,94,ranked_up_11,RANK/2NDLT_FULL4,
94,,951700,30800,RANK/2NDLT_FULL5,RANK/2NDLT_FULL5,,982500,,,,,,95,95,ranked_up_11,RANK/2NDLT_FULL5,
95,,982500,31300,RANK/LT_FULL,RANK/LT_FULL,,1013800,,,,,,96,96,ranked_up_11,RANK/LT_FULL,
96,,1013800,31800,RANK/LT_FULL2,RANK/LT_FULL2,,1045600,,,,,,97,97,ranked_up_11,RANK/LT_FULL2,
97,,1045600,32300,RANK/LT_FULL3,RANK/LT_FULL3,,1077900,,,,,,98,98,ranked_up_11,RANK/LT_FULL3,
98,,1077900,32800,RANK/LT_FULL4,RANK/LT_FULL4,,1110700,,,,,,99,99,ranked_up_11,RANK/LT_FULL4,
99,,1110700,33300,RANK/LT_FULL5,RANK/LT_FULL5,,1144000,,,,,,100,100,ranked_up_11,RANK/LT_FULL5,
100,,1144000,33800,RANK/LTC_FULL,RANK/LTC_FULL,,1177800,,,,,,101,101,ranked_up_11,RANK/LTC_FULL,
101,,1177800,34300,RANK/LTC_FULL2,RANK/LTC_FULL2,,1212100,,,,,,102,102,ranked_up_11,RANK/LTC_FULL2,
102,,1212100,34800,RANK/LTC_FULL3,RANK/LTC_FULL3,,1246900,,,,,,103,103,ranked_up_11,RANK/LTC_FULL3,
103,,1246900,35300,RANK/LTC_FULL4,RANK/LTC_FULL4,,1282200,,,,,,104,104,ranked_up_11,RANK/LTC_FULL4,
104,,1282200,35800,RANK/LTC_FULL5,RANK/LTC_FULL5,,1318000,,,,,,105,105,ranked_up_11,RANK/LTC_FULL5,
105,,1318000,36400,RANK/COMM_FULL,RANK/COMM_FULL,,1354400,,,,,,106,106,ranked_up_11,RANK/COMM_FULL,
106,,1354400,37000,RANK/COMM_FULL2,RANK/COMM_FULL2,,1391400,,,,,,107,107,ranked_up_11,RANK/COMM_FULL2,
107,,1391400,37600,RANK/COMM_FULL3,RANK/COMM_FULL3,,1429000,,,,,,108,108,ranked_up_11,RANK/COMM_FULL3,
108,,1429000,38200,RANK/COMM_FULL4,RANK/COMM_FULL4,,1467200,,,,,,109,109,ranked_up_11,RANK/COMM_FULL4,
109,,1467200,38800,RANK/COMM_FULL5,RANK/COMM_FULL5,,1506000,,,,,,110,110,ranked_up_11,RANK/COMM_FULL5,
110,,1506000,39400,RANK/CAPT_FULL,RANK/CAPT_FULL,,1545400,,,,,,111,111,ranked_up_11,RANK/CAPT_FULL,
111,,1545400,40000,RANK/CAPT_FULL2,RANK/CAPT_FULL2,,1585400,,,,,,112,112,ranked_up_11,RANK/CAPT_FULL2,
112,,1585400,40600,RANK/CAPT_FULL3,RANK/CAPT_FULL3,,1626000,,,,,,113,113,ranked_up_11,RANK/CAPT_FULL3,
113,,1626000,41200,RANK/CAPT_FULL4,RANK/CAPT_FULL4,,1667200,,,,,,114,114,ranked_up_11,RANK/CAPT_FULL4,
114,,1667200,41800,RANK/CAPT_FULL5,RANK/CAPT_FULL5,,1709000,,,,,,115,115,ranked_up_11,RANK/CAPT_FULL5,
115,,1709000,42500,RANK/MAJ_FULL,RANK/MAJ_FULL,,1751500,,,,,,116,116,ranked_up_11,RANK/MAJ_FULL,
116,,1751500,43200,RANK/MAJ_FULL2,RANK/MAJ_FULL2,,1794700,,,,,,117,117,ranked_up_11,RANK/MAJ_FULL2,
117,,1794700,43900,RANK/MAJ_FULL3,RANK/MAJ_FULL3,,1838600,,,,,,118,118,ranked_up_11,RANK/MAJ_FULL3,
118,,1838600,44600,RANK/MAJ_FULL4,RANK/MAJ_FULL4,,1883200,,,,,,119,119,ranked_up_11,RANK/MAJ_FULL4,
119,,1883200,45300,RANK/MAJ_FULL5,RANK/MAJ_FULL5,,1928500,,,,,,120,120,ranked_up_11,RANK/MAJ_FULL5,
120,,1928500,46000,RANK/LTCOL_FULL,RANK/LTCOL_FULL,,1974500,,,,,,121,121,ranked_up_11,RANK/LTCOL_FULL,
121,,1974500,46700,RANK/LTCOL_FULL2,RANK/LTCOL_FULL2,,2021200,,,,,,122,122,ranked_up_11,RANK/LTCOL_FULL2,
122,,2021200,47400,RANK/LTCOL_FULL3,RANK/LTCOL_FULL3,,2068600,,,,,,123,123,ranked_up_11,RANK/LTCOL_FULL3,
123,,2068600,48100,RANK/LTCOL_FULL4,RANK/LTCOL_FULL4,,2116700,,,,,,124,124,ranked_up_11,RANK/LTCOL_FULL4,
124,,2116700,48800,RANK/LTCOL_FULL5,RANK/LTCOL_FULL5,,2165500,,,,,,125,125,ranked_up_11,RANK/LTCOL_FULL5,
125,,2165500,49600,RANK/COL_FULL,RANK/COL_FULL,,2215100,,,,,,126,126,ranked_up_11,RANK/COL_FULL,
126,,2215100,50400,RANK/COL_FULL2,RANK/COL_FULL2,,2265500,,,,,,127,127,ranked_up_11,RANK/COL_FULL2,
127,,2265500,51200,RANK/COL_FULL3,RANK/COL_FULL3,,2316700,,,,,,128,128,ranked_up_11,RANK/COL_FULL3,
128,,2316700,52000,RANK/COL_FULL4,RANK/COL_FULL4,,2368700,,,,,,129,129,ranked_up_11,RANK/COL_FULL4,
129,,2368700,52800,RANK/COL_FULL5,RANK/COL_FULL5,,2421500,,,,,,130,130,ranked_up_11,RANK/COL_FULL5,
130,,2421500,53600,RANK/BGEN_FULL,RANK/BGEN_FULL,,2475100,,,,,,131,131,ranked_up_11,RANK/BGEN_FULL,
131,,2475100,54400,RANK/BGEN_FULL2,RANK/BGEN_FULL2,,2529500,,,,,,132,132,ranked_up_11,RANK/BGEN_FULL2,
132,,2529500,55200,RANK/BGEN_FULL3,RANK/BGEN_FULL3,,2584700,,,,,,133,133,ranked_up_11,RANK/BGEN_FULL3,
133,,2584700,56000,RANK/BGEN_FULL4,RANK/BGEN_FULL4,,2640700,,,,,,134,134,ranked_up_11,RANK/BGEN_FULL4,
134,,2640700,56800,RANK/BGEN_FULL5,RANK/BGEN_FULL5,,2697500,,,,,,135,135,ranked_up_11,RANK/BGEN_FULL5,
135,,2697500,57700,RANK/MAJGEN_FULL,RANK/MAJGEN_FULL,,2755200,,,,,,136,136,ranked_up_11,RANK/MAJGEN_FULL,
136,,2755200,58600,RANK/MAJGEN_FULL2,RANK/MAJGEN_FULL2,,2813800,,,,,,137,137,ranked_up_11,RANK/MAJGEN_FULL2,
137,,2813800,59500,RANK/MAJGEN_FULL3,RANK/MAJGEN_FULL3,,2873300,,,,,,138,138,ranked_up_11,RANK/MAJGEN_FULL3,
138,,2873300,60400,RANK/MAJGEN_FULL4,RANK/MAJGEN_FULL4,,2933700,,,,,,139,139,ranked_up_11,RANK/MAJGEN_FULL4,
139,,2933700,61300,RANK/MAJGEN_FULL5,RANK/MAJGEN_FULL5,,2995000,,,,,,140,140,ranked_up_11,RANK/MAJGEN_FULL5,
140,,2995000,62200,RANK/LTGEN_FULL,RANK/LTGEN_FULL,,3057200,,,,,,141,141,ranked_up_11,RANK/LTGEN_FULL,
141,,3057200,63100,RANK/LTGEN_FULL2,RANK/LTGEN_FULL2,,3120300,,,,,,142,142,ranked_up_11,RANK/LTGEN_FULL2,
142,,3120300,64000,RANK/LTGEN_FULL3,RANK/LTGEN_FULL3,,3184300,,,,,,143,143,ranked_up_11,RANK/LTGEN_FULL3,
143,,3184300,64900,RANK/LTGEN_FULL4,RANK/LTGEN_FULL4,,3249200,,,,,,144,144,ranked_up_11,RANK/LTGEN_FULL4,
144,,3249200,65800,RANK/LTGEN_FULL5,RANK/LTGEN_FULL5,,3315000,,,,,,145,145,ranked_up_11,RANK/LTGEN_FULL5,
145,,3315000,66800,RANK/GEN_FULL,RANK/GEN_FULL,,3381800,,,,,,146,146,ranked_up_11,RANK/GEN_FULL,
146,,3381800,67800,RANK/GEN_FULL2,RANK/GEN_FULL2,,3449600,,,,,,147,147,ranked_up_11,RANK/GEN_FULL2,
147,,3449600,68800,RANK/GEN_FULL3,RANK/GEN_FULL3,,3518400,,,,,,148,148,ranked_up_11,RANK/GEN_FULL3,
148,,3518400,69800,RANK/GEN_FULL4,RANK/GEN_FULL4,,3588200,,,,,,149,149,ranked_up_11,RANK/GEN_FULL4,
149,,3588200,70800,RANK/GEN_FULL5,RANK/GEN_FULL5,,3659000,,,,,,150,150,ranked_up_11,RANK/GEN_FULL5,
150,,3659000,71800,RANK/5GEN_FULL,RANK/5GEN_FULL,,3730800,,,,,,151,151,ranked_up_11,RANK/5GEN_FULL,
151,,3730800,72800,RANK/5GEN_FULL2,RANK/5GEN_FULL2,,3803600,,,,,,152,152,ranked_up_11,RANK/5GEN_FULL2,
152,,3803600,73800,RANK/5GEN_FULL3,RANK/5GEN_FULL3,,3877400,,,,,,153,153,ranked_up_11,RANK/5GEN_FULL3,
153,,3877400,74800,RANK/5GEN_FULL4,RANK/5GEN_FULL4,,3952200,,,,,,154,154,ranked_up_11,RANK/5GEN_FULL4,
154,,3952200,75800,RANK/5GEN_FULL5,RANK/5GEN_FULL5,,4028000,,,,,,155,155,ranked_up_11,RANK/5GEN_FULL5,
maxelder,100,,,,,,,,,,,,,,,,
