background,1,1,emblem_bg_default,EM_BG_DEFAULT,0,0,0,0,general,,,,
icon,84,84,em_icon_pocketwatch,MP_EMBLEM_EDITOR/ICON_POCKET_WATCH,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,85,85,em_icon_prestige,MP_EMBLEM_EDITOR/ICON_PRESTIGE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,86,86,em_icon_say_hello,MP_EMBLEM_EDITOR/ICON_CROSS_BONES,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,87,87,em_icon_sd_bomb_protector,MP_EMBLEM_EDITOR/ICON_HAND,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,88,88,em_icon_sd_clutch,MP_EMBLEM_EDITOR/ICON_LIGHTENING,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,89,89,em_icon_sd_crush_victory,MP_EMBLEM_EDITOR/ICON_SUITCASE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,90,90,em_icon_sd_hard_to_kill,MP_EMBLEM_EDITOR/ICON_TRIPLE_KILL,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,91,91,em_icon_sd_interruption,MP_EMBLEM_EDITOR/ICON_SKULL_SHIELD,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,92,92,em_icon_sd_last_man,MP_EMBLEM_EDITOR/ICON_LAST_MAN,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,93,93,em_icon_sd_shutout,MP_EMBLEM_EDITOR/ICON_TEAM_HUG,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,94,94,em_icon_sd_targets_down,MP_EMBLEM_EDITOR/ICON_BOMB_CASE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,95,95,em_icon_shock_charge,MP_EMBLEM_EDITOR/ICON_SHOCK_CHARGE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,96,96,em_icon_shrunk_head,MP_EMBLEM_EDITOR/ICON_SHRUNK_HEAD,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,97,97,em_icon_thief,MP_EMBLEM_EDITOR/ICON_THEIF_MASK,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,98,98,em_icon_tin_star,MP_EMBLEM_EDITOR/ICON_SHERIFF_STAR,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,99,99,em_icon_triple_kill,MP_EMBLEM_EDITOR/ICON_SKULL,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,100,100,em_icon_skull_challenge,MP_EMBLEM_EDITOR/ICON_DOUBLE_HEADSHOT,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,101,101,em_icon_smg_perfect,MP_EMBLEM_EDITOR/ICON_SMG_STAR,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,102,102,em_icon_sniper_perfect,MP_EMBLEM_EDITOR/ICON_SNIPER_STAR,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,103,103,em_icon_soldier_back,MP_EMBLEM_EDITOR/ICON_SMG_SOLDIER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,104,104,em_icon_soldier_gunfighter,MP_EMBLEM_EDITOR/ICON_GUNFIGHTER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,105,105,em_icon_streak_anti_swatter,MP_EMBLEM_EDITOR/ICON_AIR_DEFENSE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,106,106,em_icon_streak_assault_package,MP_EMBLEM_EDITOR/ICON_ASSAULT__PACKAGE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,107,107,em_icon_streak_big_game,MP_EMBLEM_EDITOR/ICON_HELICOPTER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,108,108,em_icon_streak_cancelled_out,MP_EMBLEM_EDITOR/ICON_JET,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,109,109,em_icon_streak_dog_pound,MP_EMBLEM_EDITOR/ICON_DOG,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,110,110,em_icon_streak_drones_eliminated,MP_EMBLEM_EDITOR/ICON_DRONE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,111,111,em_icon_streak_focus_fire,MP_EMBLEM_EDITOR/ICON_FOCUS_FIRE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,112,112,em_icon_streak_guide_dogs,MP_EMBLEM_EDITOR/ICON_PAW,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,113,113,em_icon_streak_hard_counter,MP_EMBLEM_EDITOR/ICON_HARD_COUNTER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,114,114,em_icon_streak_heavy_cover,MP_EMBLEM_EDITOR/ICON_SENTRY,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,115,115,em_icon_streak_hijacked_kills,MP_EMBLEM_EDITOR/ICON_HIJACKED,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,116,116,em_icon_streak_killjoy,MP_EMBLEM_EDITOR/ICON_RC_CAR,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,117,117,em_icon_streak_max_payload,MP_EMBLEM_EDITOR/ICON_PAYLOAD,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,118,118,em_icon_streak_opportunistic,MP_EMBLEM_EDITOR/ICON_AERIAL_ASSAULT,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,119,119,em_icon_streak_overcooked,MP_EMBLEM_EDITOR/ICON_GURDIAN,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,120,120,em_icon_streak_pest_control,MP_EMBLEM_EDITOR/ICON_PEST_CONTROL,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,121,121,em_icon_streak_rc_multi_bomber,MP_EMBLEM_EDITOR/ICON_RC_BOMBER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,122,122,em_icon_streak_shredder,MP_EMBLEM_EDITOR/ICON_MINI_GUN,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,123,123,em_icon_streak_small_game,MP_EMBLEM_EDITOR/ICON_SMALL_GAME,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,124,124,em_icon_streak_special_delivery,MP_EMBLEM_EDITOR/ICON_UAV,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,125,125,em_icon_streak_support_package,MP_EMBLEM_EDITOR/ICON_SPECIAL_DELIVERY,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,126,126,em_icon_streak_threat_neutral,MP_EMBLEM_EDITOR/ICON_FIGHTER_JET,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,127,127,em_icon_streak_thumper,MP_EMBLEM_EDITOR/ICON_GRENADE_LAUNCHER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,128,128,em_icon_streak_tracker,MP_EMBLEM_EDITOR/ICON_TRACKER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,FALSE,
icon,129,129,em_icon_tdm_avenger,MP_EMBLEM_EDITOR/ICON_AVENGER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,130,130,em_icon_tdm_crush_victory,MP_EMBLEM_EDITOR/ICON_TEAMWORK,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,131,131,em_icon_tdm_merciless,MP_EMBLEM_EDITOR/ICON_MERCILESS,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,132,132,em_icon_tdm_relentless,MP_EMBLEM_EDITOR/ICON_RENTLESS,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,133,133,em_icon_tdm_ruthless,MP_EMBLEM_EDITOR/ICON_RUTHLESS,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,134,134,em_icon_tdm_savior,MP_EMBLEM_EDITOR/ICON_SAVIOR,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,135,135,em_icon_tdm_triple_kill,MP_EMBLEM_EDITOR/ICON_TRIPLE_BULLETS,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,136,136,em_icon_wizard_hat,MP_EMBLEM_EDITOR/ICON_WIZARD_HAT,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_ICONS,general,0.35,TRUE,
icon,137,137,em_shape_circle_half,MP_EMBLEM_EDITOR/SHAPE_HALF_CIRCLE,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_SYMBOLS,general,0.35,TRUE,
icon,138,138,em_shape_circle_quarter,MP_EMBLEM_EDITOR/SHAPE_CIRCLE_QUARTER,0,0,0,0,MP_EMBLEM_EDITOR/DECAL_TAB_SYMBOLS,general,0.35,TRUE,
