10,,optic,ATTACHMENTS/IRONS,ironsdefault_akilo47,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
11,,optic,ATTACHMENTS/IRONS,ironsdefault_anovember94,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
12,,optic,ATTACHMENTS/IRONS,ironsdefault_asierra12,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
13,,optic,ATTACHMENTS/IRONS,ironsdefault_falima,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
14,,optic,ATTACHMENTS/IRONS,ironsdefault_falpha,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
15,,optic,ATTACHMENTS/IRONS,ironsdefault_galima,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
16,,optic,ATTACHMENTS/IRONS,ironsdefault_kilo433,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
17,,optic,ATTACHMENTS/IRONS,ironsdefault_mcharlie,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
18,,optic,ATTACHMENTS/IRONS,ironsdefault_mike4,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
19,,optic,ATTACHMENTS/IRONS,ironsdefault_scharlie,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
20,,optic,ATTACHMENTS/IRONS,ironsdefault_sierra552,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
21,,optic,ATTACHMENTS/IRONS,ironsdefault_tango21,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
22,,optic,ATTACHMENTS/IRONS,ironsdefault_augolf,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
23,,optic,ATTACHMENTS/IRONS,ironsdefault_beta,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
24,,optic,ATTACHMENTS/IRONS,ironsdefault_mpapa5,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
25,,optic,ATTACHMENTS/IRONS,ironsdefault_mpapa7,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
26,,optic,ATTACHMENTS/IRONS,ironsdefault_papa90,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
27,,optic,ATTACHMENTS/IRONS,ironsdefault_uzulu,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
28,,optic,ATTACHMENTS/IRONS,ironsdefault_charlie9,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
29,,optic,ATTACHMENTS/IRONS,ironsdefault_smgolf45,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
30,,optic,ATTACHMENTS/IRONS,ironsdefault_kilo121,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
31,,optic,ATTACHMENTS/IRONS,ironsdefault_lima86,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
32,,optic,ATTACHMENTS/IRONS,ironsdefault_mgolf34,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
33,,optic,ATTACHMENTS/IRONS,ironsdefault_pkilo,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
34,,optic,ATTACHMENTS/IRONS,ironsdefault_mkilo3,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
35,,optic,ATTACHMENTS/IRONS,ironsdefault_sierrax,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
36,,optic,ATTACHMENTS/IRONS,ironsdefault_charlie725,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
37,,optic,ATTACHMENTS/IRONS,ironsdefault_dpapa12,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
38,,optic,ATTACHMENTS/IRONS,ironsdefault_oscar12,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
39,,optic,ATTACHMENTS/IRONS,ironsdefault_romeo870,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
40,,optic,ATTACHMENTS/IRONS,ironsdefault_kilo98,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
41,,optic,ATTACHMENTS/IRONS,ironsdefault_mike14,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
42,,optic,ATTACHMENTS/IRONS,ironsdefault_romeo700,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
43,,optic,ATTACHMENTS/IRONS,ironsdefault_xmike109,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
44,,optic,ATTACHMENTS/IRONS,ironsdefault_sbeta,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
45,,optic,ATTACHMENTS/IRONS,ironsdefault_sksierra,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
46,,optic,ATTACHMENTS/IRONS,ironsdefault_alpha50,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
47,,optic,ATTACHMENTS/IRONS,ironsdefault_crossbow,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
48,,optic,ATTACHMENTS/IRONS,ironsdefault_delta,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
49,,optic,ATTACHMENTS/IRONS,ironsdefault_hdromeo,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
50,,optic,ATTACHMENTS/IRONS,ironsdefault_cpapa,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
51,,optic,ATTACHMENTS/IRONS,ironsdefault_golf21,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
52,,optic,ATTACHMENTS/IRONS,ironsdefault_decho,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
53,,optic,ATTACHMENTS/IRONS,ironsdefault_papa320,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
54,,optic,ATTACHMENTS/IRONS,ironsdefault_mike1911,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
55,,optic,ATTACHMENTS/IRONS,ironsdefault_mike9,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
56,,optic,ATTACHMENTS/IRONS,ironsdefault_mike26,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
57,,optic,ATTACHMENTS/IRONS,ironsdefault_aalpha12,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
58,,optic,ATTACHMENTS/REFLEX_MINI,minireddot,reflexmini,icon_attachment_minireddot,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
59,,optic,ATTACHMENTS/REFLEX_MINI,minireddot_tall,reflexmini,icon_attachment_minireddot,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
60,,optic,ATTACHMENTS/REFLEX_MINI,minireddot_ironstall,reflexmini,icon_attachment_minireddot,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
61,,optic,ATTACHMENTS/REFLEX_MINI,minireddot_tall_smg,reflexmini,icon_attachment_minireddot,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
62,,optic,ATTACHMENTS/REFLEX_MINI,minireddotslow,reflexmini,icon_attachment_minireddot,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
63,,optic,ATTACHMENTS/REFLEX_MINI2,minireddot02,reflexmini2,icon_attachment_minireddot02,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
64,,optic,ATTACHMENTS/REFLEX_MINI2,minireddot02_tall,reflexmini2,icon_attachment_minireddot02,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
65,,optic,ATTACHMENTS/REFLEX_MINI2,minireddot02_ironstall,reflexmini2,icon_attachment_minireddot02,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
66,,optic,ATTACHMENTS/REFLEX_MINI2,minireddotslow02,reflexmini2,icon_attachment_minireddot02,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
67,,optic,ATTACHMENTS/REFLEX_MINI3,minireddotslow03,reflexmini3,icon_attachment_minireddot03,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
68,,optic,ATTACHMENTS/REFLEX_MINI,minireddot_mike1911,reflexmini,icon_attachment_minireddot_mike1911,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
69,,optic,ATTACHMENTS/REFLEX_MINI,minireddot_golf21,reflexmini,icon_attachment_minireddot_golf21,ATTACHMENTS/DESC_REFLEX_MINI,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
70,,optic,ATTACHMENTS/REFLEX_MINI2,minireddot02_mike1911,reflexmini2,icon_attachment_minireddot02_mike1911,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
71,,optic,ATTACHMENTS/REFLEX_MINI2,minireddot02_golf21,reflexmini2,icon_attachment_minireddot02_golf21,ATTACHMENTS/DESC_REFLEX_MINI2,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini2,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
72,,optic,ATTACHMENTS/REFLEX_MINI3,minireddot03,reflexmini3,icon_attachment_minireddot03,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
73,,optic,ATTACHMENTS/REFLEX_MINI3,minireddot03_tall,reflexmini3,icon_attachment_minireddot03,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
74,,optic,ATTACHMENTS/REFLEX_MINI3,minireddot03_ironstall,reflexmini3,icon_attachment_minireddot03,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
75,,optic,ATTACHMENTS/REFLEX_MINI3,minireddot03_mike1911,reflexmini3,icon_attachment_minireddot03_mike1911,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,0,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
76,,optic,ATTACHMENTS/REFLEX_MINI3,minireddot03_golf21,reflexmini3,icon_attachment_minireddot03_golf21,ATTACHMENTS/DESC_REFLEX_MINI3,PERKS/COMPLETE_THE_MARKSMAN,,,reflexmini3,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
77,,optic,ATTACHMENTS/REFLEX,reflex,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
78,,optic,ATTACHMENTS/REFLEX_WEST01,reflex_west01,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
79,,optic,ATTACHMENTS/REFLEX_WEST01,reflex_west01_pstl,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
80,,optic,ATTACHMENTS/REFLEX_WEST01,reflex_west01_irons,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
81,,optic,ATTACHMENTS/REFLEX_WEST01,reflex_west01_ironsfull,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
82,,optic,ATTACHMENTS/REFLEX_WEST01,reflexstable_west01,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
83,,optic,ATTACHMENTS/REFLEX_WEST01,reflex_west01_noirons,reflex,icon_attachment_reflex_west01,ATTACHMENTS/DESC_REFLEX_WEST01,PERKS/COMPLETE_THE_MARKSMAN,,,reflex,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
84,,optic,ATTACHMENTS/REFLEX_WEST02,reflex_west02_irons,reflex2,icon_attachment_reflex_west02,ATTACHMENTS/DESC_REFLEX_WEST02,PERKS/COMPLETE_THE_MARKSMAN,,,reflex2,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
85,,optic,ATTACHMENTS/REFLEX_WEST02,reflex_west02_ironsfull,reflex2,icon_attachment_reflex_west02,ATTACHMENTS/DESC_REFLEX_WEST02,PERKS/COMPLETE_THE_MARKSMAN,,,reflex2,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
86,,optic,ATTACHMENTS/REFLEX_WEST02,reflexstable_west02,reflex2,icon_attachment_reflex_west02,ATTACHMENTS/DESC_REFLEX_WEST02,PERKS/COMPLETE_THE_MARKSMAN,,,reflex2,,,3,0,0,0,-1,-1,regular|hardened|veteran,ATTACHMENTS/MOD_ADS_RAISE_SPEED|-1,ATTACHMENTS/MOD_SIGHT_PICTURE|1,,,,,,,0,mp_reticle_scope_reflex,,
