???#Ref,#Priority,#Name,#Description,#Image,
pistolKills,129,MP_ACCOLADES/PISTOLKILLS,MP_ACCOLADES/PISTOLKILLS_DESC,icon_commendation_kills_pistol,
launcherKills,130,MP_ACCOLADES/LAUNCHERKILLS,MP_ACCOLADES/LAUNCHERKILLS_DESC,icon_commendation_kills_launcher,
shotgunKills,131,MP_ACCOLADES/SHOTGUNKILLS,MP_ACCOLADES/SHOTGUNKILLS_DESC,icon_commendation_kills_shotgun,
smgKills,132,MP_ACCOLADES/SMGKILLS,MP_ACCOLADES/SMGKILLS_DESC,icon_commendation_kills_smg,
arKills,133,MP_ACCOLADES/ARKILLS,MP_ACCOLADES/ARKILLS_DESC,icon_commendation_kills_assault,
lmgKills,134,MP_ACCOLADES/LMGKILLS,MP_ACCOLADES/LMGKILLS_DESC,icon_commendation_kills_lmg,
sniperKills,135,MP_ACCOLADES/SNIPERKILLS,MP_ACCOLADES/SNIPERKILLS_DESC,icon_commendation_kills_sniper,
pistolHeadshots,136,MP_ACCOLADES/PISTOLHEADSHOTS,MP_ACCOLADES/PISTOLHEADSHOTS_DESC,icon_commendation_headshots_pistol,
launcherHeadshots,137,MP_ACCOLADES/LAUNCHERHEADSHOTS,MP_ACCOLADES/LAUNCHERHEADSHOTS_DESC,icon_commendation_headshots_launcher,
shotgunHeadshots,138,MP_ACCOLADES/SHOTGUNHEADSHOTS,MP_ACCOLADES/SHOTGUNHEADSHOTS_DESC,icon_commendation_headshots_shotgun,
smgHeadshots,139,MP_ACCOLADES/SMGHEADSHOTS,MP_ACCOLADES/SMGHEADSHOTS_DESC,icon_commendation_headshots_smg,
arHeadshots,140,MP_ACCOLADES/ARHEADSHOTS,MP_ACCOLADES/ARHEADSHOTS_DESC,icon_commendation_headshots_ar,
lmgHeadshots,141,MP_ACCOLADES/LMGHEADSHOTS,MP_ACCOLADES/LMGHEADSHOTS_DESC,icon_commendation_headshots_lmg,
sniperHeadshots,142,MP_ACCOLADES/SNIPERHEADSHOTS,MP_ACCOLADES/SNIPERHEADSHOTS_DESC,icon_commendation_headshots_sniper,
meleeDeaths,7,MP_ACCOLADES/MELEEDEATHS,MP_ACCOLADES/MELEEDEATHS_DESC,icon_commendation_deaths_melee,
pistolPeaths,8,MP_ACCOLADES/PISTOLPEATHS,MP_ACCOLADES/PISTOLPEATHS_DESC,icon_commendation_deaths_pistol,
launcherDeaths,9,MP_ACCOLADES/LAUNCHERDEATHS,MP_ACCOLADES/LAUNCHERDEATHS_DESC,icon_commendation_deaths_launcher,
shotgunDeaths,10,MP_ACCOLADES/SHOTGUNDEATHS,MP_ACCOLADES/SHOTGUNDEATHS_DESC,icon_commendation_deaths_shotgun,
smgDeaths,11,MP_ACCOLADES/SMGDEATHS,MP_ACCOLADES/SMGDEATHS_DESC,icon_commendation_deaths_smg,
arDeaths,12,MP_ACCOLADES/ARDEATHS,MP_ACCOLADES/ARDEATHS_DESC,icon_commendation_deaths_ar,
lmgDeaths,13,MP_ACCOLADES/LMGDEATHS,MP_ACCOLADES/LMGDEATHS_DESC,icon_commendation_deaths_lmg,
sniperDeaths,14,MP_ACCOLADES/SNIPERDEATHS,MP_ACCOLADES/SNIPERDEATHS_DESC,icon_commendation_deaths_sniper,
riotShieldDamageAbsorbed,49,MP_ACCOLADES/RIOTSHIELDDAMAGEABSORBED,MP_ACCOLADES/RIOTSHIELDDAMAGEABSORBED_DESC,icon_commendation_riot_shield_absorb,
killstreakPersonalUAVKills,105,MP_ACCOLADES/KILLSTREAKPERSONALUAVKILLS,MP_ACCOLADES/KILLSTREAKPERSONALUAVKILLS_DESC,icon_commendation_killstreak_personal_uav,
killstreakShieldTurretKills,106,MP_ACCOLADES/KILLSTREAKSHIELDTURRETKILLS,MP_ACCOLADES/KILLSTREAKSHIELDTURRETKILLS_DESC,icon_commendation_killstreak_shield_turret,
killstreakUAVAssists,107,MP_ACCOLADES/KILLSTREAKUAVASSISTS,MP_ACCOLADES/KILLSTREAKUAVASSISTS_DESC,icon_commendation_killstreak_uav,
killstreakCUAVAssists,108,MP_ACCOLADES/KILLSTREAKCUAVASSISTS,MP_ACCOLADES/KILLSTREAKCUAVASSISTS_DESC,icon_commendation_killstreak_cuav,
killstreakCarePackageUsed,109,MP_ACCOLADES/KILLSTREAKCAREPACKAGEUSED,MP_ACCOLADES/KILLSTREAKCAREPACKAGEUSED_DESC,icon_commendation_killstreak_care_package,
killstreakCluserStrikeKills,110,MP_ACCOLADES/KILLSTREAKCLUSERSTRIKEKILLS,MP_ACCOLADES/KILLSTREAKCLUSERSTRIKEKILLS_DESC,icon_commendation_killstreak_cluster_strike,
killstreakCruiseMissileKills,111,MP_ACCOLADES/KILLSTREAKCRUISEMISSILEKILLS,MP_ACCOLADES/KILLSTREAKCRUISEMISSILEKILLS_DESC,icon_commendation_killstreak_cruise_missile,
killstreakAirstrikeKills,112,MP_ACCOLADES/KILLSTREAKAIRSTRIKEKILLS,MP_ACCOLADES/KILLSTREAKAIRSTRIKEKILLS_DESC,icon_commendation_killstreak_airstrike,
killstreakTankKills,113,MP_ACCOLADES/KILLSTREAKTANKKILLS,MP_ACCOLADES/KILLSTREAKTANKKILLS_DESC,icon_commendation_killstreak_tank,
killstreakSentryGunKills,114,MP_ACCOLADES/KILLSTREAKSENTRYGUNKILLS,MP_ACCOLADES/KILLSTREAKSENTRYGUNKILLS_DESC,icon_commendation_killstreak_sentry_gun,
killstreakWheelsonKills,115,MP_ACCOLADES/KILLSTREAKWHEELSONKILLS,MP_ACCOLADES/KILLSTREAKWHEELSONKILLS_DESC,icon_commendation_killstreak_wheelson,
killstreakEmergencyAirdropUsed,116,MP_ACCOLADES/KILLSTREAKEMERGENCYAIRDROPUSED,MP_ACCOLADES/KILLSTREAKEMERGENCYAIRDROPUSED_DESC,icon_commendation_killstreak_emergency_airdrop,
killstreakVTOLJetKills,117,MP_ACCOLADES/KILLSTREAKVTOLJETKILLS,MP_ACCOLADES/KILLSTREAKVTOLJETKILLS_DESC,icon_commendation_killstreak_vtol,
killstreakWhitePhosphorousKillsAssists,118,MP_ACCOLADES/KILLSTREAKWHITEPHOSPHOROUSKILLSASSISTS,MP_ACCOLADES/KILLSTREAKWHITEPHOSPHOROUSKILLSASSISTS_DESC,icon_commendation_killstreak_wp,
killstreakChopperGunnerKills,119,MP_ACCOLADES/KILLSTREAKCHOPPERGUNNERKILLS,MP_ACCOLADES/KILLSTREAKCHOPPERGUNNERKILLS_DESC,icon_commendation_killstreak_chopper_gunner,
killstreakChopperSupportKills,120,MP_ACCOLADES/KILLSTREAKCHOPPERSUPPORTKILLS,MP_ACCOLADES/KILLSTREAKCHOPPERSUPPORTKILLS_DESC,icon_commendation_killstreak_chopper_support,
killstreakGunshipKills,121,MP_ACCOLADES/KILLSTREAKGUNSHIPKILLS,MP_ACCOLADES/KILLSTREAKGUNSHIPKILLS_DESC,icon_commendation_killstreak_gunship,
killstreakAUAVAssists,122,MP_ACCOLADES/KILLSTREAKAUAVASSISTS,MP_ACCOLADES/KILLSTREAKAUAVASSISTS_DESC,icon_commendation_killstreak_auav,
killstreakJuggernautKills,123,MP_ACCOLADES/KILLSTREAKJUGGERNAUTKILLS,MP_ACCOLADES/KILLSTREAKJUGGERNAUTKILLS_DESC,icon_commendation_killstreak_juggernaut,
killstreakAssaultDroneKills,155,MP_ACCOLADES/KILLSTREAKASSAULTDRONEKILLS,MP_ACCOLADES/KILLSTREAKASSAULTDRONEKILLS_DESC,icon_commendation_killstreak_assault_drone,
killstreakKills,124,MP_ACCOLADES/KILLSTREAKKILLS,MP_ACCOLADES/KILLSTREAKKILLS_DESC,icon_commendation_killstreak_kills,
killstreakAirKills,125,MP_ACCOLADES/KILLSTREAKAIRKILLS,MP_ACCOLADES/KILLSTREAKAIRKILLS_DESC,icon_commendation_killstreak_kills_air,
killstreakGroundKills,126,MP_ACCOLADES/KILLSTREAKGROUNDKILLS,MP_ACCOLADES/KILLSTREAKGROUNDKILLS_DESC,icon_commendation_killstreak_kills_ground,
destroyedKillstreaks,127,MP_ACCOLADES/DESTROYEDKILLSTREAKS,MP_ACCOLADES/DESTROYEDKILLSTREAKS_DESC,icon_commendation_destroyed_killstreaks,
fragKills,50,MP_ACCOLADES/FRAGKILLS,MP_ACCOLADES/FRAGKILLS_DESC,icon_commendation_kills_frag,
semtexKills,51,MP_ACCOLADES/SEMTEXKILLS,MP_ACCOLADES/SEMTEXKILLS_DESC,icon_commendation_kills_semtex,
molotovKills,52,MP_ACCOLADES/MOLOTOVKILLS,MP_ACCOLADES/MOLOTOVKILLS_DESC,icon_commendation_kills_molotov,
claymoreKills,53,MP_ACCOLADES/CLAYMOREKILLS,MP_ACCOLADES/CLAYMOREKILLS_DESC,icon_commendation_kills_claymore,
throwingKnifeKills,54,MP_ACCOLADES/THROWINGKNIFEKILLS,MP_ACCOLADES/THROWINGKNIFEKILLS_DESC,icon_commendation_kills_throwing_knife,
thermiteKills,56,MP_ACCOLADES/THERMITEKILLS,MP_ACCOLADES/THERMITEKILLS_DESC,icon_commendation_kills_thermite,
proximityMineKills,57,MP_ACCOLADES/PROXIMITYMINEKILLS,MP_ACCOLADES/PROXIMITYMINEKILLS_DESC,icon_commendation_kills_proximity_mine,
flashbangHits,58,MP_ACCOLADES/FLASHBANGHITS,MP_ACCOLADES/FLASHBANGHITS_DESC,icon_commendation_hits_flashbang,
smokesUsed,59,MP_ACCOLADES/SMOKESUSED,MP_ACCOLADES/SMOKESUSED_DESC,icon_commendation_smokes,
stunHits,60,MP_ACCOLADES/STUNHITS,MP_ACCOLADES/STUNHITS_DESC,icon_commendation_hits_stun,
stimDamageHealed,61,MP_ACCOLADES/STIMDAMAGEHEALED,MP_ACCOLADES/STIMDAMAGEHEALED_DESC,icon_commendation_stim,
decoyHits,62,MP_ACCOLADES/DECOYHITS,MP_ACCOLADES/DECOYHITS_DESC,icon_commendation_hits_decoy,
gasHits,63,MP_ACCOLADES/GASHITS,MP_ACCOLADES/GASHITS_DESC,icon_commendation_hits_gas,
snapshotHits,64,MP_ACCOLADES/SNAPSHOTHITS,MP_ACCOLADES/SNAPSHOTHITS_DESC,icon_commendation_hits_snapshot,
ammoBoxUsed,65,MP_ACCOLADES/AMMOBOXUSED,MP_ACCOLADES/AMMOBOXUSED_DESC,icon_commendation_ammo_box,
reconDroneMarks,66,MP_ACCOLADES/RECONDRONEMARKS,MP_ACCOLADES/RECONDRONEMARKS_DESC,icon_commendation_marks_recon_drone,
empDroneHits,67,MP_ACCOLADES/EMPDRONEHITS,MP_ACCOLADES/EMPDRONEHITS_DESC,icon_commendation_hits_emp_drone,
stoppingPowerKills,68,MP_ACCOLADES/STOPPINGPOWERKILLS,MP_ACCOLADES/STOPPINGPOWERKILLS_DESC,icon_commendation_kills_stopping_power,
trophySystemHits,69,MP_ACCOLADES/TROPHYSYSTEMHITS,MP_ACCOLADES/TROPHYSYSTEMHITS_DESC,icon_commendation_hits_trophy_system,
deadSilenceKills,70,MP_ACCOLADES/DEADSILENCEKILLS,MP_ACCOLADES/DEADSILENCEKILLS_DESC,icon_commendation_kills_dead_silence,
tacticalInsertionSpawns,71,MP_ACCOLADES/TACTICALINSERTIONSPAWNS,MP_ACCOLADES/TACTICALINSERTIONSPAWNS_DESC,icon_commendation_spawn_tac_insert,
deployableCoverUsed,72,MP_ACCOLADES/DEPLOYABLECOVERUSED,MP_ACCOLADES/DEPLOYABLECOVERUSED_DESC,icon_commendation_deployable_cover,
defends,74,MP_ACCOLADES/DEFENDS,MP_ACCOLADES/DEFENDS_DESC,icon_commendation_defends,
assaults,75,MP_ACCOLADES/ASSAULTS,MP_ACCOLADES/ASSAULTS_DESC,icon_commendation_assaults,
pickups,76,MP_ACCOLADES/PICKUPS,MP_ACCOLADES/PICKUPS_DESC,icon_commendation_pickups,
captures,77,MP_ACCOLADES/CAPTURES,MP_ACCOLADES/CAPTURES_DESC,icon_commendation_captures,
returns,78,MP_ACCOLADES/RETURNS,MP_ACCOLADES/RETURNS_DESC,icon_commendation_returns,
carrierKills,79,MP_ACCOLADES/CARRIERKILLS,MP_ACCOLADES/CARRIERKILLS_DESC,icon_commendation_kills_carrier,
bombPlanted,80,MP_ACCOLADES/BOMBPLANTED,MP_ACCOLADES/BOMBPLANTED_DESC,icon_commendation_bombs_planted,
bombDefused,81,MP_ACCOLADES/BOMBDEFUSED,MP_ACCOLADES/BOMBDEFUSED_DESC,icon_commendation_bombs_defused,
bombDetonated,82,MP_ACCOLADES/BOMBDETONATED,MP_ACCOLADES/BOMBDETONATED_DESC,icon_commendation_bombs_detonated,
clutch,83,MP_ACCOLADES/CLUTCH,MP_ACCOLADES/CLUTCH_DESC,icon_commendation_clutch,
clutchRevives,84,MP_ACCOLADES/CLUTCHREVIVES,MP_ACCOLADES/CLUTCHREVIVES_DESC,icon_commendation_clutch_revives,
tagsCaptured,85,MP_ACCOLADES/TAGSCAPTURED,MP_ACCOLADES/TAGSCAPTURED_DESC,icon_commendation_tags_captured,
tagsDenied,86,MP_ACCOLADES/TAGSDENIED,MP_ACCOLADES/TAGSDENIED_DESC,icon_commendation_tags_denied,
tagsMegaBanked,87,MP_ACCOLADES/TAGSMEGABANKED,MP_ACCOLADES/TAGSMEGABANKED_DESC,icon_commendation_tags_mega_banked,
tagsLargestBank,88,MP_ACCOLADES/TAGSLARGESTBANK,MP_ACCOLADES/TAGSLARGESTBANK_DESC,icon_commendation_tags_largest_banked,
firstInfected,89,MP_ACCOLADES/FIRSTINFECTED,MP_ACCOLADES/FIRSTINFECTED_DESC,icon_commendation_first_infected,
survivorKills,90,MP_ACCOLADES/SURVIVORKILLS,MP_ACCOLADES/SURVIVORKILLS_DESC,icon_commendation_kills_survivor,
infectedKills,91,MP_ACCOLADES/INFECTEDKILLS,MP_ACCOLADES/INFECTEDKILLS_DESC,icon_commendation_kills_infected,
lastSurvivor,92,MP_ACCOLADES/LASTSURVIVOR,MP_ACCOLADES/LASTSURVIVOR_DESC,icon_commendation_last_survivor,
setbacks,93,MP_ACCOLADES/SETBACKS,MP_ACCOLADES/SETBACKS_DESC,icon_commendation_setbacks,
longestTimeSpentOnWeapon,94,MP_ACCOLADES/LONGESTTIMESPENTONWEAPON,MP_ACCOLADES/LONGESTTIMESPENTONWEAPON_DESC,icon_commendation_longest_weapon,
carepackagesCaptured,95,MP_ACCOLADES/CAREPACKAGESCAPTURED,MP_ACCOLADES/CAREPACKAGESCAPTURED_DESC,icon_commendation_carepackages,
spawnSelectSquad,96,MP_ACCOLADES/SPAWNSELECTSQUAD,MP_ACCOLADES/SPAWNSELECTSQUAD_DESC,icon_commendation_spawn_squad,
spawnSelectVehicle,97,MP_ACCOLADES/SPAWNSELECTVEHICLE,MP_ACCOLADES/SPAWNSELECTVEHICLE_DESC,icon_commendation_spawn_vehicle,
spawnSelectFlag,98,MP_ACCOLADES/SPAWNSELECTFLAG,MP_ACCOLADES/SPAWNSELECTFLAG_DESC,icon_commendation_spawn_flag,
spawnSelectBase,99,MP_ACCOLADES/SPAWNSELECTBASE,MP_ACCOLADES/SPAWNSELECTBASE_DESC,icon_commendation_spawn_base,
timesSelectedAsSquadLeader,100,MP_ACCOLADES/TIMESSELECTEDASSQUADLEADER,MP_ACCOLADES/TIMESSELECTEDASSQUADLEADER_DESC,icon_commendation_time_squad_leader,
timeSpentAsDriver,101,MP_ACCOLADES/TIMESPENTASDRIVER,MP_ACCOLADES/TIMESPENTASDRIVER_DESC,icon_commendation_time_driver,
timeSpentAsPassenger,102,MP_ACCOLADES/TIMESPENTASPASSENGER,MP_ACCOLADES/TIMESPENTASPASSENGER_DESC,icon_commendation_time_passenger,
distanceTraveledInVehicle,103,MP_ACCOLADES/DISTANCETRAVELEDINVEHICLE,MP_ACCOLADES/DISTANCETRAVELEDINVEHICLE_DESC,icon_commendation_distance_vehicle,
timeOnPoint,104,MP_ACCOLADES/TIMEONPOINT,MP_ACCOLADES/TIMEONPOINT_DESC,icon_commendation_time_on_point,
munitionsBoxUsed,73,MP_ACCOLADES/MUNITIONSBOXUSED,MP_ACCOLADES/MUNITIONSBOXUSED_DESC,icon_commendation_ammo_box,
c4LethalKills,55,MP_ACCOLADES/C4LETHALKILLS,MP_ACCOLADES/C4LETHALKILLS_DESC,icon_commendation_kills_c4,
