 ,rec,front,back,mag,guard,guardrail,guardnogrip,guardheavy,guardlight,guardcust,triggrip,toprail,reargrip,cable,boltaction,scope,scopenorail,scopenvg,reflex,reflex2,reflex3,reflex4,reflex5,reflexmini,reflexmini2,reflexmini3,holo,holo2,holo3,acog,acog2,acog3,acog4,thermal,thermal2,thermal3,thermalvz,hybrid,hybrid2,hybrid3,hybrid4,vzscope,ironsdefault,ironsight,toprailcust,gripdefault,gripvert,gripvertpro,gripang,gripangpro,gripcust,gripcust2,pistolgrip01,pistolgrip02,pistolgrip03,pistolgrip04,pistolgrip05,pistolgrip06,cableh,cablel,cabletac,gl,glsmoke,glgas,glconc,glflash,glincendiary,glsemtex,glsnap,ubshtgn,ubshtgn02,bipod,barlong,barmid,barshort,barshortnoguard,barcust,barcustnoguard,barcust2,barsil,barsil2,barextra,stockl,stockh,stocks,stockno,stockfold,stockcust,smags,xmags,xmagslrg,vertmags,vertmags2,drums,calsmg,calsmgdrums,calsnpr,calar,calcust,calcust2,calcustmags,calcustmags2,silencer,silencer2,silencer3,silencer4,brake,linearbrake,comp,choke,flashhider,fmj,laser,laserrange,laserbalanced,laserir,laserads,triggripcust,melee,melee2,meleeub,rack,bolt,bolt2,bolt3,bolt4,bolthvy,boltl,bolttac,strap,semi,burst,auto,selectsemi,selectburst,selectauto,akimbo,griprear,trig,trigcust,trigcust02,trigcust03,recstocks,recstockl,recstockh,crouchrecoil,fastswap,fastreload,flinch,maxammo,gunperk_semi,gunperk_burst,gunperk_burst3fast,gunperk_auto,gunperk_fastmelee,gunperk_xp,gunperk_dexterity,gunperk_glintreduce,gunperk_hardmelee,gunperk_holdbreath,gunperk_marksman,gunperk_binarytrigger,ammomod_impact,ammomod_slow,ammomod_subsonic,ammomod_wound,br_rangeext,
iw8_ar_mike4_mpv2a,rec_mike4a,front_mike4a,back_mike4a,mag_mike4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4_v2,pistolgrip02_mike4_v2,pistolgrip03_mike4_v2,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4_mpv2,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
iw8_ar_mike4_mpmtx,rec_mike4,front_mike4,back_mike4,mag_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4,pistolgrip02_mike4,pistolgrip03_mike4,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50_pink,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
iw8_ar_mike4_mpmtx2,rec_mike4a,front_mike4a,back_mike4a,mag_mike4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4_v2,pistolgrip02_mike4_v2,pistolgrip03_mike4_v2,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4_mpv2,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
iw8_ar_akilo47,rec_akilo47,front_akilo47_mp,back_akilo47_mp,mag_akilo47,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47,pistolgrip02_akilo47,pistolgrip03_akilo47,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpv2,rec_akilo47,front_akilo47_mp,back_akilo47_mp,mag_akilo47,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47,pistolgrip02_akilo47,pistolgrip03_akilo47,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpv3,rec_akilo47,front_akilo47_mp,back_akilo47_mp,mag_akilo47,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47_v3,pistolgrip02_akilo47_v3,pistolgrip03_akilo47_v3,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpa,rec_akilo47a,front_akilo47a,back_akilo47a,mag_akilo47a,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47_v3,pistolgrip02_akilo47_v3,pistolgrip03_akilo47_v3,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpv2a,rec_akilo47a,front_akilo47_mpa,back_akilo47_mpa,mag_akilo47a,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47,pistolgrip02_akilo47,pistolgrip03_akilo47,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpv3a,rec_akilo47a,front_akilo47_mpa,back_akilo47_mpa,mag_akilo47a,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47_v3,pistolgrip02_akilo47_v3,pistolgrip03_akilo47_v3,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_akilo47_mpdmb,rec_akilo47,front_akilo47_mp,back_akilo47_mp,mag_akilo47,guard_akilo47,guardrail_akilo47,,,,,,,,,,snprscope_akilo47,,,reflexstable_west01,reflexstable_west02,reflexstable_east01,reflexstable_east02,,,,,holostable_west01,holostable_east01,holostable_west02,acogstable_west01,acogstable_east01,acogstable_west02,,,,,,hybrid_west02_akilo47,hybrid_west01_akilo47,hybrid_thermal_akilo47,hybrid_west03_akilo47,vzscope_akilo47,ironsdefault_akilo47,,,,gripvert_akilo47,gripvertpro_akilo47,gripang_akilo47,gripangpro_akilo47,griphip_akilo47,,pistolgrip01_akilo47,pistolgrip02_akilo47,pistolgrip03_akilo47,,,,,,,ub_golf25,ub_golf25_smoke,ub_golf25_gas,ub_golf25_conc,ub_golf25_flash,ub_golf25_incendiary,ub_golf25_semtex,ub_golf25_snap,,,bipod_akilo47,barlmg_akilo47_mp,,barcustsmg_akilo47,barsmg_akilo47,barcust_akilo47,barcust2_akilo47,,,,,stocksmg_akilo47,stocklmg_akilo47,stocks_akilo47,stockno_akilo47_v2,stockfold_akilo47,stockcust_akilo47,,xmags_akilo47,,,,drums_akilo47,calsmg_akilo47_dmb,calsmgdrums_akilo47,,,,,,,silencer_east01_akilo47,silencersleeve_akilo47,silencerbalanced_east02_akilo47,,brake01,linearcomp03,comp_akilo47,,flashhider05,fmj_large,laser_bar,laserrange_bar,laserbalanced_bar,laserir_bar,laserads_bar,,bayonet_akilo47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iw8_ar_asierra12,rec_asierra12,front_asierra12,,mag_asierra12,,,,,,,,toprail_asierra12,,,,custscope_asierra12,,,,,,,,minireddot,minireddot02,minireddot03,,,,,acog_east01,acog_west02_irons,,,,,,hybrid_west02,,hybrid_thermal,hybrid_west03,vzscope_asierra12,ironsdefault_asierra12,,,,,,,,griphip_vintage,,pistolgrip01_asierra12,pistolgrip02_asierra12,pistolgrip03_asierra12,,,,,,,,,,,,,,,,,,barlong_asierra12,,barshort_asierra12,,barcust_asierra12,,,,,,stockl_asierra12,stockh_asierra12,stocks_asierra12,,,,,xmags_asierra12,xmagslrg_asierra12,,,,,,calsnpr_asierra12,,,,,,,silencer2_asierra12,silencerbalanced_asierra12,,,,comp_asierra12,,,fmj_large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_asierra12,gunperk_burst3fast_asierra12,,,,,,,,,,,,,,,
iw8_ar_asierra12a,rec_asierra12a,front_asierra12a,,mag_asierra12a,,,,,,,,toprail_asierra12a,,,,custscope_asierra12,,,,,,,,minireddot,minireddot02,minireddot03,,,,,acog_east01,acog_west02_irons,,,,,,hybrid_west02,,hybrid_thermal,hybrid_west03,vzscope_asierra12,ironsdefault_asierra12,,,,,,,,griphip_vintage,,pistolgrip01_asierra12,pistolgrip02_asierra12,pistolgrip03_asierra12,,,,,,,,,,,,,,,,,,barlong_asierra12,,barshort_asierra12,,barcust_asierra12,,,,,,stockl_asierra12,stockh_asierra12,stocks_asierra12,,,,,xmags_asierra12,xmagslrg_asierra12,,,,,,calsnpr_asierra12,,,,,,,silencer2_asierra12,silencerbalanced_asierra12,,,,comp_asierra12,,,fmj_large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_asierra12,gunperk_burst3fast_asierra12,,,,,,,,,,,,,,,
