0,none,1,default,default,,0,CAMOS/DEFAULT,menu_default_slot,1,
23,camo_03c,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03C,ui_camo_03c,1,
24,camo_03d,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03D,ui_camo_03d,1,
25,camo_03e,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03E,ui_camo_03e,1,
26,camo_03f,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03F,ui_camo_03f,1,
27,camo_03g,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03G,ui_camo_03g,1,
28,camo_03h,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03H,ui_camo_03h,1,
29,camo_03i,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03I,ui_camo_03i,1,
30,camo_03j,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03J,ui_camo_03j,1,
31,camo_04a,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04A,ui_camo_04a,1,
32,camo_04b,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04B,ui_camo_04b,1,
33,camo_04c,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04C,ui_camo_04c,1,
34,camo_04d,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04D,ui_camo_04d,1,
35,camo_04e,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04E,ui_camo_04e,1,
36,camo_04f,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04F,ui_camo_04f,1,
37,camo_04g,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04G,ui_camo_04g,1,
38,camo_04h,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04H,ui_camo_04h,1,
39,camo_04i,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04I,ui_camo_04i,1,
40,camo_04j,1,urban,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_04J,ui_camo_04j,1,
41,camo_05a,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05A,ui_camo_05a,1,
42,camo_05b,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05B,ui_camo_05b,1,
43,camo_05c,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05C,ui_camo_05c,1,
44,camo_05d,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05D,ui_camo_05d,1,
45,camo_05e,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05E,ui_camo_05e,1,
46,camo_05f,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05F,ui_camo_05f,1,
47,camo_05g,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05G,ui_camo_05g,1,
48,camo_05h,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05H,ui_camo_05h,1,
49,camo_05i,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05I,ui_camo_05i,1,
50,camo_05j,1,dazzle,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_05J,ui_camo_05j,1,
51,camo_06a,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06A,ui_camo_06a,1,
52,camo_06b,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06B,ui_camo_06b,1,
53,camo_06c,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06C,ui_camo_06c,1,
54,camo_06d,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06D,ui_camo_06d,1,
55,camo_06e,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06E,ui_camo_06e,1,
56,camo_06f,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06F,ui_camo_06f,1,
57,camo_06g,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06G,ui_camo_06g,1,
58,camo_06h,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06H,ui_camo_06h,1,
59,camo_06i,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06I,ui_camo_06i,1,
60,camo_06j,1,kryptek,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_06J,ui_camo_06j,1,
61,camo_07a,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07A,ui_camo_07a,1,
62,camo_07b,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07B,ui_camo_07b,1,
63,camo_07c,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07C,ui_camo_07c,1,
64,camo_07d,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07D,ui_camo_07d,1,
65,camo_07e,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07E,ui_camo_07e,1,
66,camo_07f,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07F,ui_camo_07f,1,
67,camo_07g,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07G,ui_camo_07g,1,
68,camo_07h,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07H,ui_camo_07h,1,
69,camo_07i,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07I,ui_camo_07i,1,
70,camo_07j,1,tiger,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_07J,ui_camo_07j,1,
71,camo_08a,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08A,ui_camo_08a,1,
72,camo_08b,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08B,ui_camo_08b,1,
73,camo_08c,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08C,ui_camo_08c,1,
74,camo_08d,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08D,ui_camo_08d,1,
75,camo_08e,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08E,ui_camo_08e,1,
76,camo_08f,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08F,ui_camo_08f,1,
77,camo_08g,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08G,ui_camo_08g,1,
78,camo_08h,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08H,ui_camo_08h,1,
79,camo_08i,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08I,ui_camo_08i,1,
80,camo_08j,1,stripes,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_08J,ui_camo_08j,1,
81,camo_09a,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09A,ui_camo_09a,1,
82,camo_09b,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09B,ui_camo_09b,1,
83,camo_09c,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09C,ui_camo_09c,1,
84,camo_09d,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09D,ui_camo_09d,1,
85,camo_09e,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09E,ui_camo_09e,1,
86,camo_09f,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09F,ui_camo_09f,1,
87,camo_09g,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09G,ui_camo_09g,1,
88,camo_09h,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09H,ui_camo_09h,1,
89,camo_09i,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09I,ui_camo_09i,1,
90,camo_09j,1,reptile,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_09J,ui_camo_09j,1,
91,camo_10a,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10A,ui_camo_10a,1,
92,camo_10b,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10B,ui_camo_10b,1,
93,camo_10c,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10C,ui_camo_10c,1,
94,camo_10d,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10D,ui_camo_10d,1,
95,camo_10e,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10E,ui_camo_10e,1,
96,camo_10f,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10F,ui_camo_10f,1,
97,camo_10g,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10G,ui_camo_10g,1,
98,camo_10h,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10H,ui_camo_10h,1,
99,camo_10i,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10I,ui_camo_10i,1,
100,camo_10j,1,skulls,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_10J,ui_camo_10j,1,
101,camo_11a,0,completion,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_11A,ui_camo_11a,1,
102,camo_11b,0,completion,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_11B,ui_camo_11b,1,
103,camo_11c,0,completion,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_11C,ui_camo_11c,1,
104,camo_00a,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_00A,ui_camo_00a,1,
105,camo_00b,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_00B,ui_camo_00b,1,
106,camo_00c,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_00C,ui_camo_00c,1,
107,camo_12a,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12A,ui_camo_12a,1,
108,camo_12b,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12B,ui_camo_12b,1,
109,camo_12c,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12C,ui_camo_12c,1,
110,camo_12d,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12D,ui_camo_12d,1,
111,camo_12e,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12E,ui_camo_12e,1,
112,camo_12f,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12F,ui_camo_12f,1,
113,camo_12g,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12G,ui_camo_12g,1,
114,camo_12h,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12H,ui_camo_12h,1,
115,camo_12i,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12I,ui_camo_12i,1,
116,camo_12j,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12J,ui_camo_12j,1,
117,camo_12k,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12K,ui_camo_12k,1,
118,camo_12l,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_12L,ui_camo_12l,1,
119,camo_11d,0,completion,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_11D,ui_camo_11d,1,
120,camo_00d,0,special,loot,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_00D,ui_camo_00d,1,
