ch_intel_7_5,ch_intel_7_5,5004,1,intel_7_5,none,31787,-2459,-826,,,,menu_intel_w7_s5,0,
ch_intel_7_6_a,ch_intel_7_6,5004,1,intel_7_6,none,31412,-528,35,,,,menu_intel_w7_s6,1,
ch_intel_7_6_b,ch_intel_7_6,5004,1,intel_7_6,none,31519,-444,38,,,,menu_intel_w7_s6,1,
ch_intel_7_6_c,ch_intel_7_6,5004,1,intel_7_6,none,31514,-333,38,,,,menu_intel_w7_s6,1,
ch_intel_7_7,ch_intel_7_7,5004,1,intel_7_7,none,28674,5054,-1093,,,,menu_intel_w7_s7,0,
ch_intel_8_1,ch_intel_8_1,5006,0,intel_8_1,none,,,,,,,menu_intel_w8_s1,0,
ch_intel_8_2,ch_intel_8_2,5006,1,intel_8_2,coin,42929.1,-5119.5,394.1,,,,menu_intel_w8_s2,0,
ch_intel_8_3,ch_intel_8_3,5006,1,intel_8_3,none,37583,11289,711,,,,menu_intel_w8_s3,0,
ch_intel_8_4,ch_intel_8_4,5006,1,intel_8_4,none,-24150,43589,-124,,,,menu_intel_w8_s4,0,
ch_intel_8_5,ch_intel_8_5,5006,1,intel_8_5,coin,16742,-34433,404.5,,,,menu_intel_w8_s5,0,
ch_intel_8_6,ch_intel_8_6,5006,1,intel_8_6,none,17547,-35204,369,,,,menu_intel_w8_s6,0,
ch_intel_8_7,ch_intel_8_7,5006,1,intel_8_7,none,17071,-34671,-615,,,,menu_intel_w8_s7,0,
ch_intel_9_1,ch_intel_9_1,6000,0,intel_9_1,none,,,,,,,menu_intel_w9_s1,0,
ch_intel_9_2,ch_intel_9_2,6000,1,intel_9_2,coin,6347,-4619,-127,,,,menu_intel_w9_s2,0,
ch_intel_9_3,ch_intel_9_3,6000,1,intel_9_3,none,8267,-26084,-879,,,,menu_intel_w9_s3,0,
ch_intel_9_4,ch_intel_9_4,6000,1,intel_9_4,none,40048,2888,-1071,,,,menu_intel_w9_s4,0,
ch_intel_9_5,ch_intel_9_5,6000,1,intel_9_5,medical,8151,-11264,58.1,,,,menu_intel_w9_s5,0,
ch_intel_9_6,ch_intel_9_6,6000,1,intel_9_6,none,46952,-10661,120,,,,menu_intel_w9_s6,0,
ch_intel_9_7,ch_intel_9_7,6000,1,intel_9_7,none,21940,-20051,-176,,,,menu_intel_w9_s7,0,
ch_intel_10_1,ch_intel_10_1,6002,0,intel_10_1,none,,,,,,,menu_intel_w10_s1,0,
ch_intel_10_2,ch_intel_10_2,6002,1,intel_10_2,coin,-30521,40765,3163,,,,menu_intel_w10_s2,0,
ch_intel_10_3,ch_intel_10_3,6002,1,intel_10_3,none,21044,16544,235,,,,menu_intel_w10_s3,0,
ch_intel_10_4,ch_intel_10_4,6002,1,intel_10_4,none,23168,-18161,-31,,,,menu_intel_w10_s4,0,
ch_intel_10_5,ch_intel_10_5,6002,1,intel_10_5,none,23924,-14862,-187,,,,menu_intel_w10_s5,0,
ch_intel_10_6,ch_intel_10_6,6002,1,intel_10_6,none,-8692,-15301,-284,,,,menu_intel_w10_s6,0,
ch_intel_10_7_a,ch_intel_10_7,6002,1,intel_10_7,none,-38340,-19180,402,,,,menu_intel_w10_s7,1,
ch_intel_10_7_b,ch_intel_10_7,6002,1,intel_10_7,none,-38219,-19150,398,,,,menu_intel_w10_s7,1,
ch_intel_11_1,ch_intel_11_1,6004,0,intel_11_1,none,,,,,,,menu_intel_w11_s1,0,
ch_intel_11_2,ch_intel_11_2,6004,1,intel_11_2,coin,41373,46496,1788.2,,,,menu_intel_w11_s2,0,
ch_intel_11_3,ch_intel_11_3,6004,1,intel_11_3,backpack,-17006,1745,666,,,,menu_intel_w11_s3,0,
ch_intel_11_4,ch_intel_11_4,6004,1,intel_11_4,none,32278,41197,754,,,,menu_intel_w11_s4,0,
ch_intel_11_5,ch_intel_11_5,6004,1,intel_11_5,none,-12586,8935,-337,,,,menu_intel_w11_s5,0,
ch_intel_11_6,ch_intel_11_6,6004,1,intel_11_6,backpack,27670,-30533,-1060,,,,menu_intel_w11_s6,0,
ch_intel_11_7_a,ch_intel_11_7,6004,1,intel_11_7,none,54959,23432,-1191,,,,menu_intel_w11_s7,0,
ch_intel_11_7_b,ch_intel_11_7,6004,1,intel_11_7,none,59052,-4821,-1193,,,,menu_intel_w11_s7,0,
ch_intel_11_7_c,ch_intel_11_7,6004,1,intel_11_7,none,58604,-25959,-1194,,,,menu_intel_w11_s7,0,
ch_intel_11_7_d,ch_intel_11_7,6004,1,intel_11_7,none,28007,54195,-1194,,,,menu_intel_w11_s7,0,
ch_intel_11_7_e,ch_intel_11_7,6004,1,intel_11_7,none,-7289,61065,-1194,,,,menu_intel_w11_s7,0,
ch_intel_11_7_f,ch_intel_11_7,6004,1,intel_11_7,none,-16692,63555,-1194,,,,menu_intel_w11_s7,0,
ch_intel_11_8,ch_intel_11_8,6004,1,intel_11_8,none,-39002,-1861,-106,,,,menu_intel_w11_s8,0,
ch_intel_12_1,ch_intel_12_1,6006,0,intel_12_1,none,,,,,,,menu_intel_w12_s1,0,
ch_intel_12_2,ch_intel_12_2,6006,1,intel_12_2,coin,19988,-36121,-390.5,,,,menu_intel_w12_s2,0,
ch_intel_12_3_a,ch_intel_12_3,6006,1,intel_12_3,backpack,26221,-34504,-451,,,,menu_intel_w12_s3_01,1,
ch_intel_12_3_b,ch_intel_12_3,6006,1,intel_12_3,backpack,17081,-34880,844,,,,menu_intel_w12_s3_01,1,
ch_intel_12_3_c,ch_intel_12_3,6006,1,intel_12_3,backpack,9897,-30522,697,,,,menu_intel_w12_s3_01,1,
ch_intel_12_4,ch_intel_12_4,6006,0,intel_12_4,none,,,,,,,menu_intel_w12_s4,0,
ch_intel_12_5,ch_intel_12_5,6006,1,intel_12_5,backpack,40124,-39134,-420,,,,menu_intel_w12_s5,0,
ch_intel_12_6,ch_intel_12_6,6006,1,intel_12_6,none,42037,-41347,-585,,,,menu_intel_w12_s6,0,
ch_intel_12_7,ch_intel_12_7,6006,1,intel_12_7,none,17884,-7844,1637,,,,menu_intel_w12_s7,0,
