a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,
28,,376320,23445,RANK/LT,RANK/LT_FULL2,,399765,,,,,,29,29,ranked_up_6,RANK/LT_FULL_N,
29,,399765,24135,RANK/LT,RANK/LT_FULL3,,423900,,,,,,30,30,ranked_up_6,RANK/LT_FULL_N,
30,,423900,24960,RANK/CPT,RANK/CAPT_FULL,,448860,,,,,,31,31,ranked_up_7,RANK/CPT_FULL_N,
31,,448860,25785,RANK/CPT,RANK/CAPT_FULL2,,474645,,,,,,32,32,ranked_up_7,RANK/CPT_FULL_N,
32,,474645,26610,RANK/CPT,RANK/CAPT_FULL3,,501255,,,,,,33,33,ranked_up_7,RANK/CPT_FULL_N,
33,,501255,27435,RANK/MAJ,RANK/MAJ_FULL,,528690,,,,,,34,34,ranked_up_8,RANK/MAJ_FULL_N,
34,,528690,28260,RANK/MAJ,RANK/MAJ_FULL2,,556950,,,,,,35,35,ranked_up_8,RANK/MAJ_FULL_N,
35,,556950,29085,RANK/MAJ,RANK/MAJ_FULL3,,586035,,,,,,36,36,ranked_up_8,RANK/MAJ_FULL_N,
36,,586035,29910,RANK/LTCOL,RANK/LTCOL_FULL,,615945,,,,,,37,37,ranked_up_9,RANK/LTCOL_FULL_N,
37,,615945,30735,RANK/LTCOL,RANK/LTCOL_FULL2,,646680,,,,,,38,38,ranked_up_9,RANK/LTCOL_FULL_N,
38,,646680,31560,RANK/LTCOL,RANK/LTCOL_FULL3,,678240,,,,,,39,39,ranked_up_9,RANK/LTCOL_FULL_N,
39,,678240,32525,RANK/COL,RANK/COL_FULL,,710765,,,,,,40,40,ranked_up_9,RANK/COL_FULL_N,
40,,710765,33490,RANK/COL,RANK/COL_FULL2,,744255,,,,,,41,41,ranked_up_9,RANK/COL_FULL_N,
41,,744255,34455,RANK/COL,RANK/COL_FULL3,,778710,,,,,,42,42,ranked_up_9,RANK/COL_FULL_N,
42,,778710,35420,RANK/BGEN,RANK/BGEN_FULL,,814130,,,,,,43,43,ranked_up_10,RANK/BGEN_FULL_N,
43,,814130,36385,RANK/BGEN,RANK/BGEN_FULL2,,850515,,,,,,44,44,ranked_up_10,RANK/BGEN_FULL_N,
44,,850515,37350,RANK/BGEN,RANK/BGEN_FULL3,,887865,,,,,,45,45,ranked_up_10,RANK/BGEN_FULL_N,
45,,887865,38450,RANK/MAJGEN,RANK/MAJGEN_FULL,,926315,,,,,,46,46,ranked_up_10,RANK/MAJGEN_FULL_N,
46,,926315,39550,RANK/MAJGEN,RANK/MAJGEN_FULL2,,965865,,,,,,47,47,ranked_up_10,RANK/MAJGEN_FULL_N,
47,,965865,40650,RANK/MAJGEN,RANK/MAJGEN_FULL3,,1006515,,,,,,48,48,ranked_up_10,RANK/MAJGEN_FULL_N,
48,,1006515,41750,RANK/LTGEN,RANK/LTGEN_FULL,,1048265,,,,,,49,49,ranked_up_10,RANK/LTGEN_FULL_N,
49,,1048265,42850,RANK/LTGEN,RANK/LTGEN_FULL2,,1091115,,,,,,50,50,ranked_up_10,RANK/LTGEN_FULL_N,
50,,1091115,44090,RANK/LTGEN,RANK/LTGEN_FULL3,,1135205,,,,,,51,51,ranked_up_10,RANK/LTGEN_FULL_N,
51,,1135205,45465,RANK/GEN,RANK/GEN_FULL,,1180670,,,,,,52,52,ranked_up_10,RANK/GEN_FULL_N,
52,,1180670,46840,RANK/GEN,RANK/GEN_FULL2,,1227510,,,,,,53,53,ranked_up_10,RANK/GEN_FULL_N,
53,,1227510,48215,RANK/GEN,RANK/GEN_FULL3,,1275725,,,,,,54,54,ranked_up_10,RANK/GEN_FULL_N,
54,,1275725,49590,RANK/COMM,RANK/COMM_FULL,,1325315,,,,,,55,55,ranked_up_11,RANK/COMM_FULL,
maxelder,100,,,,,,,,,,,,,,,,
