loadoutName,AK47,SCAR,P90,Aug,Origin12,PKM,R870,MG34,Crossbow AX50,Marlin,M4,Famas,PP19,MP7,Origin12,Shotgun,HK121 - Balanced,L86 - CQB,Crossbow,HDR,Kilo433,Ram7,MP5,Crossbow,DP12,Uzi,Kar98,Dragunov,HK121,PKM,MCX - Long / Acc,ASH12 - Sniper,AUG - AR style,MP7 - CQB,R870 - Classic,HDR,Kar98,AX50,PKM,MG34,M4 - Long / Acc,AK47 - Big mag CQB,FAMAS - Long / Acc,MP5 - CQB,MP7 - Hybrid,Citori,Marlin - Acog,AX-50,PKM,L86 - Bipod,AK47,ASH12,Crossbow,P90,Aug,DP12,Dragunov,M14 - Sniper,L86 - Bipod,MG34,
loadoutEquipmentPrimary,equip_molotov,equip_frag,equip_frag,equip_c4,equip_frag,equip_molotov,equip_molotov,equip_frag,equip_frag,equip_semtex,equip_c4,equip_thermite,equip_frag,equip_c4,equip_semtex,equip_claymore,equip_frag,equip_semtex,equip_molotov,equip_frag,equip_molotov,equip_molotov,equip_c4,equip_c4,equip_c4,equip_semtex,equip_frag,equip_molotov,equip_molotov,equip_semtex,equip_frag,equip_semtex,equip_molotov,equip_semtex,equip_frag,equip_semtex,equip_semtex,equip_claymore,equip_molotov,equip_molotov,equip_semtex,equip_molotov,equip_frag,equip_semtex,equip_frag,equip_molotov,equip_semtex,equip_molotov,equip_semtex,equip_at_mine,equip_c4,equip_molotov,equip_c4,equip_molotov,equip_frag,equip_molotov,equip_molotov,equip_frag,equip_at_mine,equip_frag,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_smoke,equip_flash,equip_concussion,equip_smoke,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_flash,equip_flash,equip_smoke,equip_flash,equip_flash,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_smoke,equip_concussion,equip_concussion,equip_flash,equip_flash,equip_concussion,equip_concussion,equip_flash,equip_flash,equip_concussion,equip_concussion,equip_flash,equip_concussion,equip_concussion,equip_flash,equip_flash,equip_concussion,equip_flash,equip_flash,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_smoke,equip_flash,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_smoke,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_twoprimaries,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_twoprimaries,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_null,specialty_twoprimaries,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_twoprimaries,specialty_twoprimaries,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
