default,REPLACE_ME,hud_icon_hardpoint_diamond,
gw_fob_03_locale_4,MP_BONEYARD_GW/CALLOUT_SCRAP_YARD_WAREHOUSE,icon_waypoint_status_plate,
gw_fob_04_locale_4,MP_BONEYARD_GW/CALLOUT_RED_PLANE,icon_waypoint_status_plate,
gw_fob_05_locale_4,MP_BONEYARD_GW/CALLOUT_PURPLE_PLANE,icon_waypoint_status_plate,
gw_fob_01_locale_5,MP_QUARRY2/CALLOUT_MANAGE,icon_waypoint_status_plate,
gw_fob_02_locale_5,MP_QUARRY2/CALLOUT_RAIL,icon_waypoint_status_plate,
gw_fob_03_locale_5,MP_QUARRY2/CALLOUT_BRIDGE,icon_waypoint_status_plate,
gw_fob_04_locale_5,MP_QUARRY2/CALLOUT_SHIP,icon_waypoint_status_plate,
gw_fob_05_locale_5,MP_QUARRY2/CALLOUT_BLOCK,icon_waypoint_status_plate,
gw_fob_01_locale_6,MP_DOWNTOWN_GW/BANK,icon_waypoint_status_plate,
gw_fob_02_locale_6,MP_DOWNTOWN_GW/PARLIAMENT,icon_waypoint_status_plate,
gw_fob_03_locale_6,MP_DOWNTOWN_GW/CONSTRUCT,icon_waypoint_status_plate,
gw_fob_04_locale_6,MP_DOWNTOWN_GW/MUSEUM,icon_waypoint_status_plate,
gw_fob_05_locale_6,MP_DOWNTOWN_GW/BLOC,icon_waypoint_status_plate,
gw_fob_01_locale_8,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_02_locale_8,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_03_locale_8,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_04_locale_8,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_05_locale_8,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_01_locale_9,MP_FARMS2_GW/CALLOUT_HAY_STORAGE,icon_waypoint_status_plate,
gw_fob_02_locale_9,MP_FARMS2_GW/CALLOUT_LAUNCHERS,icon_waypoint_status_plate,
gw_fob_03_locale_9,MP_FARMS2_GW/CALLOUT_CENTRAL_BARN,icon_waypoint_status_plate,
gw_fob_04_locale_9,MP_FARMS2_GW/CALLOUT_SILOS,icon_waypoint_status_plate,
gw_fob_05_locale_9,MP_FARMS2_GW/CALLOUT_WINDMILLS,icon_waypoint_status_plate,
gw_fob_01_locale_10,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_02_locale_10,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_03_locale_10,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_04_locale_10,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_05_locale_10,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_01_locale_17,MP_ANIYAH/CALLOUT_SHANTY_TOWN,icon_waypoint_status_plate,
gw_fob_02_locale_17,MP_ANIYAH/CALLOUT_POOL_HOUSE,icon_waypoint_status_plate,
gw_fob_03_locale_17,MP_ANIYAH/CALLOUT_PALACE,icon_waypoint_status_plate,
gw_fob_04_locale_17,MP_ANIYAH/CALLOUT_TAXI_BUILDING,icon_waypoint_status_plate,
gw_fob_05_locale_17,MP_ANIYAH/CALLOUT_SCHOOL,icon_waypoint_status_plate,
gw_vehicle_technical_1,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_2,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_3,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_4,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_5,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_6,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_7,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_technical_8,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate,
gw_vehicle_littlebird_1,MP_ARM/RALLY_POINT_HELI,icon_waypoint_status_plate,
gw_vehicle_littlebird_2,MP_ARM/RALLY_POINT_HELI,icon_waypoint_status_plate,
gw_vehicle_apc_1,MP_ARM/RALLY_POINT_APC,icon_waypoint_status_plate,
gw_vehicle_apc_2,MP_ARM/RALLY_POINT_APC,icon_waypoint_status_plate,
